"type","sum_mean1","sum_mean2"
"CAR",66035.1243658066,43314.7679230372
"CE",162100.590436618,12388.040962855
"Cer",14680.9014323552,4020.25882975261
"DAG",331001.061847051,819713.237628619
"FA",20652029.4387074,39126661.980662
"PC",282217.513999621,939657.089017232
"PE",18924.2928450902,95957.7783257167
"PG",6280.90538342794,3394.6098578771
"PI",5247.53364912669,5082.24656804403
"PS",122376.942440351,94605.4122807185
"SM",49439.4069172541,9974.97069613139
"TAG",114421.471312523,101286.330549558
