"type","sum_mean1","sum_mean2"
"CAR",15264.1926377614,17967.1695747375
"CE",28480.9154411952,3077.96023591359
"Cer",3441.74212837219,3603.77407328288
"DAG",356116.230594953,265901.196116765
"FA",14941895.2483079,14762551.5171623
"PC",1975832.04139264,2263848.7348175
"PE",1154118.4541235,1650580.26415857
"PG",9395.31219259898,9424.15429369609
"PI",9537.99729188284,6116.91842047374
"PS",84973.7696615855,93366.5639781952
"SM",21393.3917614619,10598.5325727463
"TAG",918541.141285578,1238116.49473604
