"type","sum_mean1","sum_mean2"
"CAR",102473.683972041,44849.1780996323
"CE",140296.02499644,127910.934592883
"Cer",32409.8513139089,23203.3050937653
"DAG",458177.184768359,221417.920653661
"FA",39387636.1157316,25643497.1240238
"PC",651695.008095423,509837.906516711
"PE",449195.252997398,393828.878814061
"PG",8143.58720874787,8282.62534459432
"PI",6567.67360432943,7684.41863028209
"PS",148636.81782945,151916.999504725
"SM",222654.21197923,195066.745206833
"TAG",326811.47299099,454358.812807083
