"type","sum_mean1","sum_mean2"
"CAR",73677.931690534,73677.931690534
"CE",93818.5990864436,93818.5990864436
"Cer",13607.6196740468,13607.6196740468
"DAG",336989.790015856,336989.790015856
"FA",84929665.1935968,84929665.1935968
"PC",119127.156948407,119127.156948407
"PE",19681.8810977936,19681.8810977936
"PG",6128.00534979502,6128.00534979502
"PI",6778.02690315247,6778.02690315247
"PS",189901.023625374,189901.023625374
"SM",44394.7248741786,44394.7248741786
"TAG",114214.856998444,114214.856998444
