"type","sum_mean1","sum_mean2"
"CAR",73277.341921334,104729.752515321
"CE",64432.283693468,100974.495036906
"Cer",9275.00193190348,8678.90718137196
"DAG",560127.514500831,278385.387636444
"FA",59004784.0065869,43364315.9832954
"PC",468312.495880713,529640.663244606
"PE",65572.2596832548,101829.200061035
"PG",5730.93281252725,6120.27902824311
"PI",6819.85891103291,6124.55956378664
"PS",158946.997921739,142888.499369857
"SM",32579.8235561098,40549.4531698136
"TAG",149167.403165413,123284.601226829
