"type","sum_mean1","sum_mean2"
"CAR",13732.9660695394,43314.7679230372
"CE",6075.38251495361,12388.040962855
"Cer",3481.64888191223,4020.25882975261
"DAG",329629.866850853,766236.412566821
"FA",19497330.6193082,38616735.3826116
"PC",786135.338896433,939657.089017232
"PE",124243.311693509,95957.7783257167
"PG",4428.97330093384,3394.6098578771
"PI",5657.92525577545,5082.24656804403
"PS",102214.374116898,94605.4122807185
"SM",7006.92559623718,9974.97069613139
"TAG",102614.165995598,101286.330549558
