"type","sum_mean1","sum_mean2"
"CAR",61847.9392286936,66035.1243658066
"CE",170058.242045403,162100.590436618
"Cer",23682.3187774022,14680.9014323552
"DAG",865158.655118307,331001.061847051
"FA",27834982.617362,20652029.4387074
"PC",229152.396611532,282217.513999621
"PE",19329.419418335,18924.2928450902
"PG",6533.52890618642,6280.90538342794
"PI",6686.54541333516,5247.53364912669
"PS",145345.717829704,122376.942440351
"SM",51997.9888569514,49439.4069172541
"TAG",107972.080340703,114421.471312523
