"type","sum_mean1","sum_mean2"
"CAR",34083.7823734283,105444.689262708
"CE",7222.38270060221,2064.54588476817
"Cer",3066.79062843323,2963.35387293498
"DAG",264343.433044434,195943.933183352
"FA",19546124.5306673,18939250.708614
"PC",797097.279306412,845402.735230764
"PE",167306.509405136,157344.485618273
"PG",4090.16179529826,3998.15037250519
"PI",6421.04180781047,5913.09350045522
"PS",134718.448439916,133533.1780955
"SM",7510.32237943013,2162.8335202535
"TAG",130522.370735804,122153.806708336
