"type","sum_mean1","sum_mean2"
"CAR",69691.5624012856,43321.7912862006
"CE",126224.36322313,181829.173575783
"Cer",9938.03128103529,12430.0893630754
"DAG",813561.329291298,319694.528359813
"FA",42565157.3256129,26582318.3267501
"PC",632172.493124503,475204.372547667
"PE",66779.3659523782,74928.2529423123
"PG",5437.94105531602,5890.94928236916
"PI",5179.5009710766,5579.04492747443
"PS",109258.71352258,120913.053629893
"SM",35792.8812668755,41408.8298244431
"TAG",135218.867183953,111697.316293853
