"type","sum_mean1","sum_mean2"
"CAR",114260.088165919,45118.2882553736
"CE",140296.02499644,158594.14991951
"Cer",32409.8513139089,30656.3422902425
"DAG",510866.029300372,236033.512746175
"FA",43859060.2899259,25481898.7226979
"PC",651695.008095423,637866.363243421
"PE",449195.252997398,372688.866208394
"PG",8143.58720874787,7691.24882157644
"PI",6567.67360432943,6604.32880338033
"PS",148636.81782945,137804.368133545
"SM",222654.21197923,207328.661231041
"TAG",326811.47299099,513518.821950912
