"type","sum_mean1","sum_mean2"
"CAR",73677.931690534,70111.8383423487
"CE",93818.5990864436,107144.731112162
"Cer",13607.6196740468,12729.6277888616
"DAG",334718.459849993,277103.372974714
"FA",84929665.1935968,59108589.1574456
"PC",119127.156948407,142910.271083196
"PE",19681.8810977936,20735.1063241959
"PG",6128.00534979502,6448.00863265991
"PI",6778.02690315247,6110.61024347941
"PS",189901.023625374,151506.718793551
"SM",44394.7248741786,48137.8700949351
"TAG",114256.427001953,87992.1643365224
