lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDF-J,GDF-L,GDF-M,GDF-N,G4F-J,G4F-L,G4F-M,G4F-N,Blank1
FA(5:0),2.190176869745044,11.527413225438131,202.0871268765071,7.317885610561978e-46,2.3614816865283504e-42,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,FA,0.0017766939732810133,0.004527265344947525,0.0044189977320619,0.004761819258393261,0.000805418464870725,0.0008934019724704932,0.0010369803655634368,0.0007312201194545215,0.00552075556133465
DG(41:5)_C16:0,-1.9999345035413183,9.384580198819496,170.64281074997956,5.355151010772317e-39,8.640536155881134e-36,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,7.799635501120285e-05,0.0007103708292650923,0.00020108988653677997,7.751271787628893e-05,0.00025692855339023253,0.0012835763086437898,0.002498342681678862,0.0002631955528198314,0.00047034249643169903
"DG(36:7),DG(35:0)_C16:0",-1.8680988007305104,9.929717660808382,150.2501526670057,1.5285604072841212e-34,1.6442214781019534e-31,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,0.0001486143031264651,0.0010705145716390515,0.0002232095214595525,0.00017576606082620808,0.00025619270543035115,0.0019114268469495284,0.0034489811788901504,0.00039048765303508376,0.0008270854406532995
FA(21:5),-1.5897579272560616,12.296044032600015,110.74652334629718,6.724133384988973e-26,5.424694608339854e-23,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,FA,0.001707697193953241,0.0028783679451371167,0.002355514734306671,0.0019072921341957872,0.005021251876159442,0.005329222239253998,0.011994402608128018,0.004612999161799873,0.007031349798731086
"DG(42:11),DG(41:4)_C16:0",-1.558420133152972,7.506908099247685,106.24567356694548,6.513792309557173e-25,4.2040015565882002e-22,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,4.242590016484165e-05,0.00021358026403716144,8.816127489288193e-05,3.7343482892907035e-05,7.92320389439007e-05,0.00031374417165571256,0.0006471698225958857,8.674192670520245e-05,0.00010026233736675709
FA(22:3),-1.5152530706048517,12.255338698873718,101.03455487890004,9.039268636567079e-24,4.861619981700327e-21,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,FA,0.003433808233500992,0.0013442187658239816,0.002552059500570299,0.0038982167607458295,0.019514698014033036,0.0016126403380876163,0.007537518110569954,0.00302509700500634,0.001181351264574451
"[TG(51:8),TG(50:1)]_FA22:5",-1.4714816761441705,6.156611486038971,94.71730376456088,2.1961105765945813e-22,1.0124069758101016e-19,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.6969290937638503e-05,8.417088463139917e-05,4.590869140107626e-05,2.1859393563306455e-05,3.169769848431556e-05,8.339336441874044e-05,0.0003009502407645517,4.690959882706333e-05,1.244664430462375e-05
FA(10:3),-1.4466084905380632,14.95176010659233,92.4392902797772,6.942206360388386e-22,2.8003124906216655e-19,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,FA,0.0025439423433573586,0.03709999252584539,0.007365965091477343,0.003931067486162728,0.017794668453391182,0.02607775028074654,0.08505981135877537,0.01090989668022123,0.06287464934246877
DG(42:5)_C16:1,-1.4084872493687663,6.940914077383608,87.37171311417526,8.992746171096645e-21,3.224399099347653e-18,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,2.8633891672540297e-05,0.00015561809787822113,6.455689772868514e-05,4.159325835315823e-05,4.623476162215657e-05,0.00021943969269953137,0.00043083806169254583,8.100990338739811e-05,4.023248198200857e-05
DG(36:6)_C16:0,-1.400968791855008,7.775704135721948,86.64936366860138,1.2957225638443539e-20,4.18129671352573e-18,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,4.277640027899456e-05,0.00027848112538712285,0.00010875056492091151,5.7456166159093815e-05,9.608676084480239e-05,0.00038746542985570055,0.0007255004241925988,7.90687711344654e-05,0.00014683424738979665
"DG(37:7),DG(36:0)_C16:1",-1.3224391792894583,7.62676509460618,77.50673052003279,1.3227096912607111e-18,3.880349248816649e-16,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,5.8641662062080706e-05,0.0002496733901569507,0.00013833584740926427,4.239779652506365e-05,6.740057834475276e-05,0.0003073478647032918,0.0007066888810461664,0.00014593668310282059,6.722771912498082e-05
FA(15:1),-1.3086403676391625,13.913707161253676,76.17939665506128,2.5903028475994453e-18,6.965756074336174e-16,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,FA,0.0016888431908486474,0.023596453828172617,0.005077765776569445,0.002511530450572064,0.007852031041305422,0.017002472760305823,0.04531675993040459,0.013848183421571231,0.016324810947497805
FA(28:1),-1.2425855183259935,13.333705114210556,68.89887574137539,1.036438902951991e-16,2.5727602614046726e-14,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,FA,0.00873287448934269,0.00584330243576851,0.005976787502577551,0.007184505571352412,0.02895395030474321,0.004813282786969732,0.008135140210703707,0.02948160058703776,0.0007770775305735611
FA(14:2),-1.163639291669413,15.281966614623787,60.64042316286941,6.851257276785003e-15,1.5792148022989432e-12,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,FA,0.001528816694877102,0.049589961376136124,0.0080020111420634,0.0028299306949220015,0.01547785913678665,0.03766934759999416,0.08334044924014648,0.00300063608229254,0.10344257331284291
[TG(45:3)]_FA16:0,-1.1657792880427744,5.518229147031734,60.029746439022574,9.343453721530143e-15,1.884457822461111e-12,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2927843443212242e-05,6.786154589743861e-05,1.9854240408856383e-05,1.2510707546512596e-05,2.4524504582225064e-05,2.084566826243722e-05,0.00018722477379956443,1.7646199408241018e-05,3.11968551297405e-05
FA(26:6),1.1586408929504302,10.580186678797824,60.10797241818159,8.979389570704122e-15,1.884457822461111e-12,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,FA,0.0019630540236914447,0.001862839903052098,0.001996882221212735,0.0020573455130818165,0.0009958485537517466,0.0011276804283793709,0.000666980304527611,0.0009305123703679697,0.0017488185139611094
"DG(37:7),DG(36:0)_C18:0",-1.128795739875717,6.444319291348579,56.75852083302389,4.927511317175582e-14,9.353575894426824e-12,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,4.940313697538852e-05,8.53015502816195e-05,6.297278074201346e-05,3.519001767311386e-05,7.050609031432609e-05,0.00011223889608258306,0.00025316987672566643,7.967559590113986e-05,3.7574095903049e-05
FA(22:2),-1.1082767694979931,11.058509054197328,55.12467024311263,1.1312210953243073e-13,1.921289723479757e-11,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,FA,0.001685234730650599,0.0008729977240070453,0.0013667682074121627,0.0019023823882269627,0.006697502765281444,0.0010516455027230274,0.002975396417550081,0.001884002397434789,0.0008428439539508923
FA(30:1),-1.1085498646010843,12.086104827118234,55.15945907287551,1.111375375650911e-13,1.921289723479757e-11,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,FA,0.002118814292248514,0.001677275301281313,0.0034630902016757896,0.005476612982063639,0.01227244950617663,0.002369706587026045,0.005262563731602853,0.008271313746947104,0.00041175299354304773
FA(10:2),-1.0815633555348818,11.563042904119158,52.55869076461386,4.1758078266146565e-13,6.737665928242745e-11,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,FA,0.00073175043431718,0.0034960135464615254,0.0011701080141541956,0.000780497496593564,0.0021604794449767563,0.002345015841960608,0.007083761023731725,0.0016386428831251766,0.005367241175351145
DG(30:2)_C16:0,-1.07203219516442,6.891475618485514,51.39212658987071,7.56412974895219e-13,1.1623546047556531e-10,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,3.961933907849062e-05,0.00014911974332581054,7.43619788391674e-05,3.9319329980021884e-05,4.828166484432164e-05,0.0001652526587170637,0.0003421368244497385,8.880886402682973e-05,9.664636672684038e-05
"[TG(51:7),TG(50:0)]_FA22:5",-1.0154327171445323,5.067668262791991,45.66399717560931,1.4037935897848064e-11,2.0591099610161684e-09,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.69864904688689e-05,3.2886250465086e-05,2.4644595369830005e-05,2.1539526385770287e-05,2.028885117328621e-05,4.093713182111422e-05,0.00010300616628016353,3.1502797123415293e-05,1.2252076821552987e-05
