lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDF-J,GDF-L,GDF-M,GDF-N,G2F-J,G2F-L,G2F-M,G2F-N,Blank1
FA(22:3),-3.0815677294726505,13.527304807443436,395.6992578687058,4.755154840518832e-88,1.534488467035427e-84,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,FA,0.003433808233500992,0.0013442187658239816,0.002552059500570299,0.0038982167607458295,0.005312265658932793,0.047010128616417346,0.042498021301085535,0.007269221288547719,0.001181351264574451
FA(22:2),-2.359269332925154,11.981712766267131,246.0679770005736,1.8693166093847606e-55,3.0161423492423112e-52,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,FA,0.001685234730650599,0.0008729977240070453,0.0013667682074121627,0.0019023823882269627,0.002594469935521589,0.014351169811678072,0.01219907684898429,0.0030114904938200013,0.0008428439539508923
FA(30:1),-1.8976179670604596,12.673553550657898,164.50810657948026,1.1715584456135293e-37,1.2602063679982864e-34,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,FA,0.002118814292248514,0.001677275301281313,0.0034630902016757896,0.005476612982063639,0.002018569284729045,0.018210516716454662,0.018610255273360046,0.011978483322792588,0.00041175299354304773
FA(28:1),-1.4080845789344807,13.462976656947014,93.23632895960148,4.640840510702832e-22,3.7439980820095102e-19,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,FA,0.00873287448934269,0.00584330243576851,0.005976787502577551,0.007184505571352412,0.022032148734175024,0.005446381171560131,0.022578856140372475,0.02852803238733052,0.0007770775305735611
FA(21:5),-1.2764368737218232,12.136992781066402,77.11111779376006,1.6160504332316678e-18,1.0429989496077184e-15,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,FA,0.001707697193953241,0.0028783679451371167,0.002355514734306671,0.0019072921341957872,0.005747968290127392,0.004931746880309299,0.0056789528376981705,0.006580630979824008,0.007031349798731086
FA(24:12),-1.234862707821443,11.929036593820737,72.31251708724449,1.8367864419595705e-17,9.878849747005891e-15,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,FA,0.0021963739064613757,0.0013041787827458781,0.0032384458367209147,0.0035468079112905095,0.0013269916239674994,0.010572003047367488,0.009803520113008331,0.00407856234433539,0.0011381970208132503
"DG(38:8),DG(dO-40:8),DG(37:1)_C16:1",1.120689625477184,5.718590040258211,59.13902823088733,1.4691623828280442e-14,6.772838584837284e-12,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,DAG,2.379242913217856e-05,3.7661042589910884e-05,0.00023469950623275745,2.8571993355334795e-05,3.621016770109999e-05,3.6961727864400093e-05,3.785552780225385e-05,3.807884643796801e-05,2.5359991090047876e-05
FA(20:0),-0.9646486544127312,15.023256039003334,44.63538393461204,2.3736293620693878e-11,9.574627439247394e-09,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,FA,0.02051573431737136,0.01869827587112523,0.023656170273184635,0.024080710478244144,0.03174305789739921,0.061754194694044875,0.04813625043872715,0.04106548572994547,0.0316603598096072
CAR(22:5)_QUAL,0.9583174945297276,8.997726474710948,44.01025734464999,3.266595318566553e-11,1.1712558992238072e-08,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CAR,0.00031498512564577,0.00035555932342104404,0.0005612501731414575,0.0017982437976718437,0.00026141319497501026,0.0004413509701299935,0.00037308461389630487,0.0006044199295214218,0.00010623973124092005
FA(30:2),-0.9490625104465634,12.357183671014283,43.225430427235565,4.878250727999643e-11,1.5742115099254847e-08,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,FA,0.002587274272788267,0.002276425803001052,0.002936412800197392,0.00835681817176375,0.0024040034833457675,0.010361371062304711,0.01212635476409525,0.008625052102682617,0.0007106290481500879
CAR(2:0),-0.9062721793747824,8.963391225298267,39.43155525083967,3.3976188852687236e-10,9.967378311601977e-08,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CAR,0.0002511233791895631,0.00027326029125775256,0.0007364559308197379,0.0002878523833753281,0.0002549276844775122,0.0022588460070802133,0.0002926550174658248,0.0003716766847563642,0.00016787951205322527
"DG(44:9),DG(43:2)_C18:1",-0.8857214257347061,6.619195808946037,37.50416670828412,9.121790908177543e-10,2.453001605057412e-07,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,DAG,6.736047745667101e-05,5.182644001852806e-05,8.899541998549766e-05,9.652765078823367e-05,6.990534798279005e-05,5.7035117598674646e-05,0.000370552543762796,7.164141900347657e-05,2.6518147069641827e-05
DG(43:6)_C16:1,0.8602806475550618,5.138622341617581,34.99876380778443,3.2991471243417558e-09,7.604534121607747e-07,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,DAG,2.2230982068473197e-05,3.3133390455320314e-05,0.00011653038564218692,2.728150342232645e-05,2.6265541682460287e-05,3.0345581276178475e-05,2.5977205661425856e-05,2.988682151686451e-05,1.8001150632547477e-05
