lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P,GDM-Q,GDM-R,GDM-S,GDF-J,GDF-L,GDF-M,GDF-N,Blank1
DG(28:2)_C18:1,-6.743006402246016,10.24832667853831,418.23512884806456,5.910078458466686e-93,1.9071823185472e-89,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,DAG,9.838910999993644e-06,2.80431138617622e-05,2.1951825243385316e-05,2.219226355079672e-05,0.0023768282270816617,0.0025572789673445288,0.002828417258548305,0.0024519712993632346,0.0015222316877198884
CAR(22:5)_QUAL,5.060771753118997,13.267743820244023,276.1707398211911,5.129540647691898e-62,8.276513835050877e-59,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,CAR,0.008118317843324471,0.01225872107196214,0.02902801702840125,0.03550936496443439,0.00031498512564577,0.00035555932342104404,0.0005612501731414573,0.001798243797671844,0.00010623973124092007
FA(16:3),-4.918375460236114,15.837186815673006,264.4447045372453,1.8437736536088917e-59,1.9832858600652973e-56,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,FA,0.005533569372500329,1.5501642600500385e-05,1.2179346989972669e-05,1.2361010524507709e-05,0.09573459430508427,0.09588406228513367,0.111154375097861,0.10321924614271091,0.1225598421053951
"LPC(18:2),LPC(P-19:1)",-4.183617497836483,7.42355831811965,204.81097735245203,1.862214112273581e-46,1.5023412350767117e-43,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PC,6.0885367006530005e-06,1.755554746917103e-05,4.275371268736895e-05,1.4864822560285768e-05,0.00022558379211353466,0.0003920493015590086,0.0005474632676061172,0.0005346269301127705,1.5729302660286266e-05
"LPC(18:0),PC(O-18:0),LPC(O-19:0)",-4.113942829219333,8.304166358053715,199.57089885692005,2.5910265425897122e-45,1.6722485305874e-42,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PC,1.9497541811602812e-05,3.146927976555197e-05,5.8503475480895805e-05,3.761597509999108e-05,0.00045939226652459025,0.0007412355021804727,0.0010061352063744416,0.0009155279054871918,2.4504965066893083e-05
"LPC(16:0),PC(O-16:0),LPC(O-17:0)",-3.894860172640708,8.795031518824324,182.6901096951608,1.2533828251975816e-41,6.74111062818766e-39,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PC,2.609183268031282e-05,3.855042167539849e-05,0.0001298763547106437,4.7312743013985574e-05,0.0005673952311805195,0.0010449037561573399,0.0014725686858303095,0.0012683328349241247,4.009974173542063e-05
CE(20:0),3.7591897621227712,9.127531175564847,172.38961736116903,2.2246976641196457e-39,1.0255856231591568e-36,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,CE,0.00044293075098201287,0.002200682627769202,0.0005089098431131371,0.0017148723530667734,0.00010332512896447795,8.786467641771932e-05,0.00011538206347408326,8.790327930143196e-05,6.45920491669322e-05
"LPC(18:1),PC(O-18:1),PC(P-18:0)",-3.4272868544171744,7.238251858822928,147.53317941082565,6.000354868023339e-34,2.4203931448889143e-31,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PC,1.3902009619944586e-05,1.8938874863302602e-05,5.245626986522151e-05,2.3601149277604692e-05,0.00017579273101169348,0.00038238756065220786,0.00046935143718995114,0.0004139500787453216,1.373088769763139e-05
CAR(22:4)_QUAL,3.2345737977340074,8.648631717521303,133.87031137501435,5.832348732203581e-31,2.091221039868995e-28,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,CAR,0.0003072079572436146,0.0004791828475590788,0.0011348275867519896,0.0012543829799096684,6.862906616112826e-05,7.233145327724478e-05,0.0001187276554479299,0.00014173658876846326,3.798432627817881e-05
DG(30:2)_C18:1,-3.201535036312619,8.75480620422107,131.5255766933942,1.9001041733773413e-30,6.131636167488679e-28,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,DAG,2.1269365836900605e-05,3.6484253572685356e-05,0.00012517876056801768,0.0001396757747200189,0.0007653819764690212,0.0008879729708965672,0.0008869182757452431,0.0008438102170081514,0.00047890736684128135
"PE(O-38:9),PE(36:2),PE(O-37:2),PE(P-37:1)",-3.037445174069763,7.108240396385763,119.96575425601952,6.436225162426154e-28,1.8881544181044728e-25,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PE,2.1122591609683296e-05,3.986794718513201e-05,3.042161908979881e-05,3.200042837342873e-05,0.000312840517958152,0.00021429174286231672,0.0003290046838333814,0.0003989588576789428,2.2304679992792294e-05
"PE(34:1),PE(O-35:1),PE(P-35:0)",-2.918297449172752,6.633243083020872,111.80257038056686,3.947237476194039e-26,1.0614779446398472e-23,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PE,1.484977096704232e-05,2.651980879520428e-05,2.1874161762455374e-05,3.187189331470797e-05,0.00022485117997574715,0.00016077358204727904,0.00021907792589076152,0.00027589862583957077,2.447737839141382e-05
FA(28:0),-2.871001053843377,11.645328972216443,108.9123498581939,1.6962321764268832e-25,4.210570179484271e-23,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,FA,0.0013239534445144932,0.00019706360228412986,0.00030948324284010647,0.0002040579552267785,0.004254714430031644,0.006980938448535551,0.008732096753821602,0.009071233089961495,0.000497232747605783
"PE(dO-38:9),PE(35:2),PE(O-36:2),PE(P-36:1)",-2.873513974142321,6.338516158164319,108.75755983835128,1.8340067459601089e-25,4.227385549438051e-23,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PE,1.398651244883838e-05,2.2846288984761418e-05,1.910525385632639e-05,2.3541404171229684e-05,0.00022825833169932072,0.0001170571329208757,0.00018789473250418985,0.0001922200051552004,1.0730100806114347e-05
"PE(36:3),PE(P-37:2)",-2.7454226269675988,6.570675888745555,100.4007675004847,1.2447984699389217e-23,2.6779764416619327e-21,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PE,1.5278713468987085e-05,3.0209778848553134e-05,3.0236024408645674e-05,2.8310524791318957e-05,0.000197574897707379,0.0001774115677595909,0.00019899030381759802,0.00026968965990825097,1.3365606938022252e-05
DG(29:2)_C18:0,-2.700596380996568,6.1021204438332655,97.38560258402684,5.705941450977098e-23,1.1508170663939434e-20,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,DAG,8.769979629233246e-06,2.4821830314911328e-05,1.9505772920212144e-05,1.9844835710098493e-05,0.00015304181138462702,0.00017351839990271964,0.00010696121988556866,0.0001089155874645273,5.112875260524792e-05
"PE(34:2),PE(O-35:2),PE(P-35:1)",-2.6161386949908128,6.248504583637131,92.08413829105136,8.306851967097955e-22,1.576835958695594e-19,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PE,1.6178954702414736e-05,3.0539384197929696e-05,1.939197557381039e-05,1.977366574540328e-05,0.00015645268118889415,0.00011419839290096577,0.0001822257526299509,0.00020919193767042797,1.7073587730314785e-05
"DG(39:7),DG(38:0),DG(dO-40:0)_C18:0",2.550178186242017,8.80516947258108,88.18712411235998,5.9546256553382505e-21,1.0675320549875853e-18,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,DAG,0.00019675156111393163,0.0014924916284989875,0.001192692857759591,0.000856477278442595,0.0002573022273623397,0.00013310721274928733,0.0001014811393849809,0.00016959862172378825,1.6854191966939728e-05
FA(29:3),-2.526428410250513,13.463367305000734,86.7560065122525,1.2277037093389959e-20,2.085157826335232e-18,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,FA,0.0068174213701210655,0.00039071838627840653,0.0002025275159239738,0.00018595857262213846,0.042500625767149074,0.03196623761069967,0.013180304669287797,0.007920836729523784,0.000809904275851627
LPC(20:4),-2.4877192577948013,5.556331951622393,83.97848319054742,5.00189109598392e-20,8.070551283370055e-18,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PC,8.664192815394841e-06,2.1450100603652893e-05,1.529128891383354e-05,1.5035964439097819e-05,4.848412025028584e-05,7.269622289689519e-05,0.00015415983763007783,0.0001388365078188638,9.522289039698612e-06
"PE(35:3),PE(O-36:3),PE(P-36:2)",-2.459073114683142,6.011123491948457,82.34748590463721,1.1414657141350965e-19,1.7540523140542648e-17,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PE,1.1058725719329296e-05,2.4690526449453295e-05,2.012215469781356e-05,2.8972717747953763e-05,0.0001576752515461067,9.412088300649073e-05,0.00013197066461854222,0.0001685654576704389,1.1439242111598309e-05
FA(6:2),2.2962234057827,11.744115552512914,72.94311597396882,1.3344094511346105e-17,1.9573360449142677e-15,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,FA,0.0024075437325812676,0.008377163568220143,0.007483691271334745,0.007056870329811427,0.0009214507041715727,0.0013442470415858,0.0017157670492986546,0.0019155674135679787,0.0008194495943958896
"PC(16:0),PC(O-17:0),LPC(O-18:0)",-2.277447779774709,5.320676570363652,71.48114940832042,2.799196605219558e-17,3.927394541323267e-15,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PC,6.947369692783001e-06,2.0093691830311767e-05,1.5118833551608178e-05,1.721439283431997e-05,5.0319599379187705e-05,7.456308007499352e-05,0.00011556111095892973,9.870905260102364e-05,9.04860873526912e-06
"PE(O-38:8),PE(36:1),PE(O-37:1),PE(P-37:0)",-2.2362174642294232,5.777358666199884,69.22886150958931,8.767560178656516e-17,1.1788715290218576e-14,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PE,1.3068886078542602e-05,2.2382687257496237e-05,1.7717163025994397e-05,2.515903967662404e-05,0.00010417534907194709,8.68333410736538e-05,0.0001272008616138802,0.0001407295702194589,1.1706021885661248e-05
SM(40:2),2.1404908876298565,5.6963661364002,63.86389209837404,1.3331890878903544e-15,1.7208804746488697e-13,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SM,4.8244898038132736e-05,0.00011452874999338651,8.778219441030038e-05,0.00010911374725926197,2.410341715239547e-05,2.118037075700353e-05,2.0518066052541253e-05,3.0468386707604886e-05,1.099038971605544e-05
SM(38:1),2.130312083261789,6.0799962914583645,63.35951300885526,1.722216487788873e-15,2.137535617728728e-13,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SM,6.453426338791946e-05,0.00015380007726295393,0.00011606673380440851,0.00012654232919732887,3.832284956517147e-05,3.0150837575783525e-05,3.208966059313416e-05,2.3769925919327395e-05,1.9857171138273132e-05
"PC(41:7),PC(P-42:6),PC(40:0),PC(O-41:0)",-2.0954997036289957,6.654246941212531,61.5187999067615,4.3853588879077004e-15,5.241315974547462e-13,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PC,1.7863536196525333e-05,4.2339691566649943e-05,6.145211236952689e-05,4.296850142853738e-05,0.00019847322938624132,0.00016017474417900945,0.00023980628892826563,0.00022652423553093617,2.364020236066212e-05
FA(22:7),2.044110238656342,15.277736736886627,58.8667336588478,1.6872076482124223e-14,1.9409830612551827e-12,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,FA,0.06296469489906582,0.02914410683199896,0.047669077228285485,0.07213272695558909,0.01607028501193591,0.01795374650911443,0.021919339386572798,0.01860926373491221,0.021655140381975527
"PE(34:3),PE(P-35:2)",-2.0483680846827674,5.355840097389603,58.80125656899311,1.7442983816671918e-14,1.9409830612551827e-12,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PE,7.358083874661973e-06,2.3498920578993973e-05,1.6762205276202923e-05,2.1087101458977985e-05,8.371941403258769e-05,6.61855099761519e-05,7.03032959247711e-05,0.00010368288735697878,1.4659262302214444e-05
FA(9:0) | FA(10:7),2.0360170224148053,10.41228017181453,58.42513681528816,2.1117555578994982e-14,2.2315390602639134e-12,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,FA,0.0010706720044231183,0.0016867090112456266,0.0028712770966643282,0.0027056388583409467,0.0005167955499251214,0.0005336488671609027,0.0007468313724799365,0.000670491083880866,0.0010974649097413227
LPC(22:5),-2.041808412417898,5.080925923115952,58.395584578325895,2.143715862044664e-14,2.2315390602639134e-12,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PC,6.093172861751601e-06,1.7473594560624496e-05,1.74405303692638e-05,1.627156558135683e-05,4.5560415882300376e-05,7.799214818736035e-05,8.4058392181382e-05,6.615922157144396e-05,9.50427645921367e-06
CAR(7:0),2.003084118779104,5.953148988669218,56.50657466667093,5.601078331278701e-14,5.648337429698865e-12,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,CAR,4.456164104897773e-05,0.00010525911039615903,0.0001230583781942109,0.00015369155662427902,2.6026521232254557e-05,3.6791537509223085e-05,2.9978566081331892e-05,3.0418919897356472e-05,1.6776137709433917e-05
FA(14:0),-1.985507768621857,12.738892380238928,55.76159935289792,8.18141250747215e-14,8.00042974594322e-12,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,FA,0.005108272851938086,1.549296885058045e-05,1.2178877802104773e-05,1.2353155435010862e-05,0.009154078978977105,0.009429267697204504,0.011934531758147168,0.018836588137562872,0.006300746408330687
FA(12:6),1.9788233423370627,11.19791973240919,55.40829419778856,9.792239934196276e-14,9.293987725779818e-12,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,FA,0.001789731625613971,0.003237155348840285,0.004264976821458862,0.004285555255008973,0.0008570578465859391,0.0010498584400021676,0.001292055715717359,0.0009639819071667083,0.002589331397176763
FA(11:0),1.96881976242679,10.64414085096319,54.884678893610726,1.2781349618241512e-13,1.1527184665009151e-11,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,FA,0.0014094805138991121,0.0024527820405448033,0.002960636461975311,0.0030923139145906304,0.0007380559565314188,0.000692458394501094,0.0007957050383470499,0.0008462153671902925,0.0010146732502802304
FA(9:0) | FA(10:7)_2,1.9678954305244136,10.43872046754379,54.83521646427653,1.3107098564256528e-13,1.1527184665009151e-11,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,FA,0.0010842746663226681,0.0017693048874477273,0.002807258066509594,0.002734231908208868,0.0005629942095203995,0.0005832215759627708,0.0007625244530085655,0.0006893760841589475,0.0011382153650697081
"LPC(16:1),LPC(P-17:0)",-1.9718716637429647,5.589476005922424,54.818837037437845,1.3216790598244151e-13,1.1527184665009151e-11,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PC,8.895996489212864e-06,2.2747287966277672e-05,3.065273291537531e-05,1.9617281368722835e-05,5.009251720959839e-05,0.000144489671292982,9.446789893415261e-05,8.381881915319818e-05,2.1164699088910712e-05
DG(28:1)_C18:1,-1.911041147951751,5.684529385369271,51.69388990625989,6.486429670132379e-13,5.5083443540834694e-11,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,DAG,9.83901642803862e-06,2.8052984144421906e-05,2.1952294610264223e-05,2.2196310248253146e-05,9.285683072284572e-05,7.357214353265395e-05,0.00010612820127693576,8.697571429172797e-05,5.261762472153674e-05
SM(38:3),1.9091362553773303,5.142752392440015,51.53773409651751,7.023412465382819e-13,5.811423596356501e-11,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SM,3.6275327450041895e-05,0.00010061240651337424,5.0468149317183135e-05,4.828768767713091e-05,2.305742375297427e-05,1.4973338055364022e-05,1.5222627902630209e-05,2.0529387013892765e-05,8.708850380636995e-06
FA(9:1),1.900488142498296,10.521471783749956,51.37370405907586,7.635446785482343e-13,6.159896694187879e-11,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,FA,0.001274455440590929,0.0020483362529921823,0.003059176182305419,0.002825305302872016,0.0007175484284398685,0.0006524789855578995,0.0009136123422917366,0.0007244448603143556,0.0007382928596495404
"PC(34:1),PC(O-35:1),PC(P-35:0)",-1.89466872807753,8.622420127641877,51.06124880401126,8.952836993125283e-13,7.046537799223241e-11,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PC,0.00011100987626338582,0.0001469928276720897,0.0002376934197936509,0.00018626062852781716,0.0006723533885410553,0.0006516988254157456,0.0009126630655853235,0.0009507791768473962,5.83368406070931e-05
LPC(20:3),-1.896546277999265,4.888372062576364,50.84258467086542,1.000786560569679e-12,7.689376740377033e-11,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PC,5.984646486297708e-06,1.4811025798271425e-05,1.6315463375597457e-05,1.608518986198213e-05,3.56806245710516e-05,4.5852307045385754e-05,8.571485914426273e-05,6.85523317445567e-05,9.897468513339266e-06
FA(36:5),-1.8613582258073436,10.512680872888106,49.406032368249726,2.081047416069211e-12,1.561753491082638e-10,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,FA,0.0009283294389266917,0.00035709439299070483,0.000327779480763808,0.00023197835434845643,0.005938684582649692,0.001158191531666634,0.0011704872252081718,0.0028100037629676788,0.00039936883112948884
LPC(22:6),-1.8667591197834392,4.745211531427733,49.322831529094046,2.1712072544805417e-12,1.592383138683797e-10,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,PC,6.110979590218562e-06,1.584500687836835e-05,1.3601224940887427e-05,1.3222670289942814e-05,3.603321720004094e-05,5.636359720962236e-05,6.916651555938172e-05,4.922240173648251e-05,8.620852212986615e-06
