lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P_x,GDM-Q_x,GDM-R_x,GDM-S_x,GDM-P_y,GDM-Q_y,GDM-R_y,GDM-S_y,Blank1
[TG(37:0)]_FA14:0,0,3.477704280063027,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.343919822135694e-06,1.5782495715722386e-05,1.353224277809618e-05,1.4560861255482726e-05,5.343919822135694e-06,1.5782495715722386e-05,1.353224277809618e-05,1.4560861255482726e-05,9.20828716209725e-06
[TG(37:0)]_FA16:0,0,3.5815119837274576,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,7.04167170274305e-06,1.7636901769057388e-05,1.576079036427431e-05,1.1696437373922808e-05,7.04167170274305e-06,1.7636901769057388e-05,1.576079036427431e-05,1.1696437373922808e-05,8.874650165951447e-06
[TG(37:0)]_FA18:0,0,7.7448878531717025,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.664019785072705e-05,0.0004586309284153642,0.0003843599044693803,0.00025936794901739086,5.664019785072705e-05,0.0004586309284153642,0.0003843599044693803,0.00025936794901739086,1.0593952214393184e-05
[TG(38:0)]_FA14:0,0,4.149811595061368,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,9.173634171564605e-06,3.3738535026755695e-05,1.4314744941898527e-05,1.7506928645200636e-05,9.173634171564605e-06,3.3738535026755695e-05,1.4314744941898527e-05,1.7506928645200636e-05,2.1262713114949643e-05
[TG(38:0)]_FA16:0,0,3.758606475390064,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,7.691038281607173e-06,2.3023953445103986e-05,1.381708769935584e-05,1.4982170248899515e-05,7.691038281607173e-06,2.3023953445103986e-05,1.381708769935584e-05,1.4982170248899515e-05,1.0681742969266337e-05
[TG(38:0)]_FA18:0,0,3.855238705394617,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.87569876040711e-06,3.797824643953785e-05,1.2600513900266169e-05,1.2982024314339693e-05,5.87569876040711e-06,3.797824643953785e-05,1.2600513900266169e-05,1.2982024314339693e-05,1.1317211352848087e-05
[TG(38:1)]_FA14:0,0,3.5765403605028725,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,6.225195583250189e-06,2.2340215764830444e-05,1.142241986123504e-05,1.1944224067576675e-05,6.225195583250189e-06,2.2340215764830444e-05,1.142241986123504e-05,1.1944224067576675e-05,1.1667887165221652e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0,4.596333822874766,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,DAG,1.653298243918304e-05,3.386714712141209e-05,2.3716502886614537e-05,2.9018180873425418e-05,1.653298243918304e-05,3.386714712141209e-05,2.3716502886614537e-05,2.9018180873425418e-05,1.6807619008621288e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0,4.596333822874766,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,6.298846076051258e-06,1.8685538977531217e-05,1.1701398904832657e-05,1.625442770367451e-05,6.298846076051258e-06,1.8685538977531217e-05,1.1701398904832657e-05,1.625442770367451e-05,9.293968388452163e-06
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0,4.432554990683943,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,DAG,1.0269749980840453e-05,3.591327532595154e-05,2.4546400677795313e-05,2.6522699629973077e-05,1.0269749980840453e-05,3.591327532595154e-05,2.4546400677795313e-05,2.6522699629973077e-05,1.713557653348088e-05
