lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P,GDM-Q,GDM-R,GDM-S,G4M-P,G4M-Q,G4M-R,G4M-S,Blank1
DG(30:1)_C18:1,-1.2258377779107998,6.063530197192671,12.508326654268712,0.0004051423070433332,0.326848556207209,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,1.8274460993332122e-05,3.36984561431824e-05,4.218449212222303e-05,5.80677814238359e-05,3.265971577927504e-05,6.401655935804802e-05,0.00018554383036485905,8.842626483485086e-05,9.570079022272418e-05
FA(28:0),-1.237547667680849,10.273263435245305,12.761008402980224,0.0003539200418532264,0.326848556207209,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,FA,0.001323953444514493,0.00019706360228412986,0.00030948324284010647,0.0002040579552267785,0.003439640889211987,0.0003113247848476802,0.00023223563277219333,0.00021564996313554007,0.000497232747605783
FA(28:1),-1.3013741847109097,11.633082755126551,14.069205413747111,0.00017620522111806377,0.326848556207209,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,FA,0.003859749540575886,0.0002490662428987216,0.0002032347003224219,0.00020639490639140322,0.00961509813786972,0.0005115183968041667,0.00013830735926677042,0.00018056326157077257,0.0007770775305735613
FA(36:5),-1.247478829703812,9.964564750459584,12.960414815570417,0.00031814668084383384,0.326848556207209,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,FA,0.0009283294389266915,0.00035709439299070483,0.000327779480763808,0.00023197835434845643,0.0027235425699324934,0.0002893193142886219,0.00022315489143495378,0.0002583045067735671,0.00039936883112948884
[TG(37:0)]_FA14:0,0.0273779486887726,3.492845530606324,0.0063835684428621,0.9363189875466936,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.343919822135694e-06,1.5782495715722386e-05,1.353224277809618e-05,1.4560861255482726e-05,5.56514973077619e-06,1.7297614532267024e-05,1.3833143152198343e-05,1.3724213550996943e-05,9.20828716209725e-06
[TG(37:0)]_FA16:0,-0.3475644422964283,3.7751445190641335,1.0278962652587325,0.3106532870982573,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,7.04167170274305e-06,1.7636901769057388e-05,1.576079036427431e-05,1.1696437373922808e-05,6.1597160838246515e-06,4.6484720442285416e-05,1.2958662795175706e-05,1.4483423208168995e-05,8.874650165951447e-06
[TG(37:0)]_FA18:0,0.1312125613780764,7.708212022697864,0.1476779130784962,0.7007643780547443,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.664019785072705e-05,0.0004586309284153642,0.0003843599044693803,0.00025936794901739086,0.000167529057683942,0.00040391025220827645,0.00014609204669221404,0.0002422418599333877,1.0593952214393184e-05
[TG(38:0)]_FA14:0,0.0091501304219065,4.173375933743897,0.000714951044997747,0.9786682509119838,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,9.173634171564605e-06,3.3738535026755695e-05,1.4314744941898527e-05,1.7506928645200636e-05,8.303109126266046e-06,2.4902369128971577e-05,2.3469689119090274e-05,1.969196639274714e-05,2.1262713114949643e-05
[TG(38:0)]_FA16:0,-0.151162376179386,3.855205836837496,0.1948689245863022,0.6588947756879707,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,7.691038281607173e-06,2.3023953445103986e-05,1.381708769935584e-05,1.4982170248899515e-05,1.0685169511521732e-05,2.8980699224107133e-05,1.1035260382234735e-05,1.6857323095027337e-05,1.0681742969266337e-05
[TG(38:0)]_FA18:0,0.0745522774908433,3.8497738898099954,0.0474133676223118,0.8276269363915989,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.87569876040711e-06,3.797824643953785e-05,1.2600513900266169e-05,1.2982024314339693e-05,6.3605374366175e-06,3.808387501288948e-05,1.1101130359337145e-05,1.4215221428943493e-05,1.1317211352848087e-05
[TG(38:1)]_FA14:0,0.1822883182625684,3.5277839773238653,0.2827928204433023,0.594876518825776,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.225195583250189e-06,2.2340215764830444e-05,1.142241986123504e-05,1.1944224067576675e-05,5.159507094513252e-06,1.8788136659253125e-05,1.1179265751470078e-05,1.3239467437932321e-05,1.1667887165221652e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",-0.0315466095900547,4.63794186474285,0.0085126609724692,0.926488224396133,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,1.653298243918304e-05,3.386714712141209e-05,2.3716502886614537e-05,2.9018180873425418e-05,1.393943861996382e-05,3.848123363517986e-05,2.8703170044892744e-05,3.380961239273225e-05,1.6807619008621288e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",-0.0315466095900547,4.63794186474285,0.0085126609724692,0.926488224396133,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.298846076051258e-06,1.8685538977531217e-05,1.1701398904832657e-05,1.625442770367451e-05,6.895411297580543e-06,2.515067500141696e-05,1.2593198093366093e-05,1.6497285348657844e-05,9.293968388452163e-06
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0.0902145984481624,4.420274795654471,0.069561786322783,0.7919758900298248,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.7898485374211e-06,2.1804232307017684e-05,1.4070022385762583e-05,1.5908811574639934e-05,5.49653406059184e-06,2.1777080436856613e-05,2.0744036328306465e-05,1.703890711085993e-05,9.155872392022528e-06
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0.0902145984481624,4.420274795654471,0.069561786322783,0.7919758900298248,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,1.0269749980840453e-05,3.591327532595154e-05,2.4546400677795313e-05,2.6522699629973077e-05,1.0252860103427753e-05,3.589754708641884e-05,2.238351640224845e-05,2.71851823252236e-05,1.713557653348088e-05
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",0.1809957321166323,4.295234693491954,0.2797716411490611,0.5968509302569968,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.0305632749019e-06,1.5026675352513637e-05,1.2046075259113199e-05,1.1842110264925733e-05,5.095506951669441e-06,1.6893044130232687e-05,1.1553134438477507e-05,1.235502731004603e-05,7.791465243942308e-06
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",0.1809957321166323,4.295234693491954,0.2797716411490611,0.5968509302569968,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,1.1657622289335847e-05,3.1545848733156574e-05,2.471158241974393e-05,2.245290411806393e-05,9.583831946406528e-06,3.028164372338696e-05,2.1615791100122333e-05,2.3450184480407354e-05,1.384464231136106e-05
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0.0926585857940427,4.605864088474193,0.0734197400490757,0.7864212032284712,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.869271447967218e-06,1.613931924693719e-05,1.3415864764162731e-05,1.3536390585161908e-05,5.780945431322276e-06,1.7707679941800416e-05,1.2610460652885994e-05,1.5254634141799471e-05,9.907529536889386e-06
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0.0926585857940427,4.605864088474193,0.0734197400490757,0.7864212032284712,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,1.2894716817978873e-05,4.6489075311529624e-05,2.3853763340889674e-05,2.8089873271179454e-05,1.124168446699299e-05,4.198293066850874e-05,2.853077258905599e-05,2.843983515687513e-05,1.8255435421213696e-05
[TG(39:0)]_FA14:0,-0.018166100482705,3.3758151300384096,0.0028080452356675,0.9577390849543962,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.016865768277111e-06,1.5956869625458003e-05,1.1172770071689369e-05,1.1424609935950307e-05,4.917762668263184e-06,1.6485382974808894e-05,1.2607735111002308e-05,1.241529449553717e-05,1.0198812910316474e-05
