lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P,GDM-Q,GDM-R,GDM-S,G2M-P,G2M-Q,G2M-R,G2M-S,Blank1
FA(14:0),-1.9428971785864089,12.568032224384464,35.20918472308949,2.9612364950993582e-09,9.55591016968563e-06,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,FA,0.005108272851938086,1.549296885058045e-05,1.2178877802104773e-05,1.2353155435010862e-05,0.0019594277685004457,0.005463614540895454,0.022960329814106478,0.008676030202545829,0.006300746408330687
FA(28:0),-1.6683911688762492,10.543559735891456,26.41579269842623,2.752805320952887e-07,0.0004441651385357483,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,FA,0.001323953444514493,0.00019706360228412986,0.00030948324284010647,0.0002040579552267785,0.0002757228620625122,0.006426321756383531,0.00032708257170474797,0.00019177177544108036,0.000497232747605783
DG(30:2)_C18:1,1.6395516682982,6.745033194107586,25.492329978010613,4.441450870514512e-07,0.00047775206530501104,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,2.1269365836900605e-05,3.6484253572685356e-05,0.00012517876056801768,0.0001396757747200189,2.198144787411394e-05,1.3270464110554933e-05,2.3073976517953502e-05,4.0328862443393066e-05,0.00047890736684128135
FA(14:1),-1.205240684338063,12.358320288577229,14.126144797679444,0.00017095116391515946,0.1379148514885549,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,FA,0.005020751275264502,1.5490576070342808e-05,1.2179112485544228e-05,1.2350537162645557e-05,0.005446182408659619,0.005079730042707447,0.007849026552003077,0.003720903273296717,0.012910053216024644
FA(22:0),1.157987760029091,14.291188742653338,13.0679790735594,0.0003003870589370484,0.193869807837971,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,FA,0.04702736017340355,0.005791954795367135,0.008103456252917814,0.009853043731639225,0.005597588509144167,0.020644889380037848,0.005604624510785063,0.011110785640195119,0.019745879498876052
FA(14:2),-1.0936115631032988,15.064022619249812,11.687473616762873,0.0006292227747002804,0.3384169823263008,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,FA,0.030602166823340913,2.643217306924858e-05,6.030710072946886e-05,0.00014333640042287743,0.030366887284207826,0.02794190561914969,0.051740120750070444,0.014744692249387847,0.10344257331284291
FA(17:6),1.060143612465133,10.749568919327627,10.997463769470414,0.0009123664997633164,0.4206009563908888,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,FA,0.0022916596821832983,0.002031735424267347,0.002333398201613033,0.001081551637915475,0.00020048389945726623,0.0027600420016001058,1.1597630444238561e-05,4.570661923106178e-05,0.002296268539721191
FA(15:2),0.9783983364686426,9.05780109084873,9.395513926231615,0.0021751702131383,0.8774092847246807,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,FA,0.0014513095800607956,1.5497455135249842e-05,1.2180285634224984e-05,1.2357916231512449e-05,1.2173631125080367e-05,0.0009766051638191167,1.1597630444238561e-05,1.2109096173733857e-05,0.0005007075350256577
[TG(37:0)]_FA14:0,0.1573699588094901,3.4074237723581224,0.2452376683161251,0.6204485258630591,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.343919822135694e-06,1.5782495715722386e-05,1.353224277809618e-05,1.4560861255482726e-05,1.2137176151217764e-05,7.288914014016027e-06,1.0645258890574177e-05,1.1313720238061142e-05,9.20828716209725e-06
[TG(37:0)]_FA16:0,0.1785483836494177,3.501467324948108,0.3158671674346198,0.5741019762173987,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,7.04167170274305e-06,1.7636901769057388e-05,1.576079036427431e-05,1.1696437373922808e-05,1.1898924821949394e-05,8.092760263459402e-06,1.1642160883140094e-05,1.2576210470970518e-05,8.874650165951447e-06
