lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDF-J,GDF-L,GDF-M,GDF-N,GDM-P,GDM-Q,GDM-R,GDM-S,G4F-J,G4F-L,G4F-M,G4F-N,G4M-P,G4M-Q,G4M-R,G4M-S,Blank1
DG(41:5)_C16:0,-1.6580733188445946,8.670983406094498,59.73955628006027,1.0827823471084876e-14,3.49413863411909e-11,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,DAG,7.799635501120285e-05,0.0007103708292650923,0.00020108988653677997,7.751271787628894e-05,9.819102372618399e-05,0.00017673511643278786,5.772707347542017e-05,0.0001294355901900952,0.00025692855339023253,0.0012835763086437898,0.002498342681678862,0.0002631955528198314,8.806710833234495e-05,0.000753972470584738,4.566922429588087e-05,0.00010859567171607721,0.0004703424964316991
"DG(36:7),DG(35:0)_C16:0",-1.4115829151950172,9.323164596814545,43.90268583638135,3.4511496296529047e-11,5.568429927444964e-08,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,DAG,0.0001486143031264651,0.0010705145716390515,0.0002232095214595525,0.0001757660608262081,0.00022359275324665068,0.0004171843581743202,0.00012421887464500865,0.00024840677615030934,0.00025619270543035115,0.0019114268469495284,0.0034489811788901504,0.00039048765303508376,0.00020466807357377115,0.0013012269777501106,0.00012121614557815428,0.00019138578420324287,0.0008270854406532996
"DG(42:11),DG(41:4)_C16:0",-1.259663503172512,6.89692697656565,35.19079963735078,2.9893247577886942e-09,2.47677099628908e-06,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,DAG,4.242590016484165e-05,0.00021358026403716144,8.816127489288193e-05,3.734348289290704e-05,4.000669676436243e-05,5.200743085303425e-05,3.202956167053141e-05,5.187335179770321e-05,7.92320389439007e-05,0.00031374417165571256,0.0006471698225958857,8.674192670520245e-05,3.065847746156241e-05,0.0002404538782118046,3.644811330596907e-05,4.55003969947154e-05,0.0001002623373667571
FA(28:1),-1.2579195852589593,12.74668358366021,35.13890224469651,3.07006011315659e-09,2.47677099628908e-06,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,FA,0.00873287448934269,0.00584330243576851,0.005976787502577551,0.007184505571352414,0.003859749540575886,0.0002490662428987216,0.0002032347003224219,0.00020639490639140322,0.02895395030474321,0.004813282786969732,0.008135140210703707,0.02948160058703776,0.00961509813786972,0.0005115183968041667,0.00013830735926677042,0.00018056326157077257,0.0007770775305735613
"[TG(51:8),TG(50:1)]_FA22:5",-1.1745189676890804,5.417058180264633,30.652246352564816,3.0866903269640875e-08,1.992149937022622e-05,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,TAG,1.6969290937638503e-05,8.417088463139917e-05,4.590869140107626e-05,2.1859393563306458e-05,7.566918021110665e-06,2.0917407183011656e-05,1.615309711887825e-05,1.748265000406741e-05,3.169769848431556e-05,8.339336441874044e-05,0.0003009502407645517,4.690959882706333e-05,8.006082249464842e-06,2.5286333089120293e-05,1.5606180453765082e-05,1.963561279786668e-05,1.2446644304623752e-05
DG(42:5)_C16:1,-1.076470883776869,6.360010648508872,25.89609220625449,3.602977957040599e-07,0.00019378016445616687,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,DAG,2.8633891672540297e-05,0.00015561809787822113,6.455689772868514e-05,4.1593258353158236e-05,2.0378396161990068e-05,6.971372353422521e-05,2.9999279433599332e-05,4.1697195878821834e-05,4.623476162215657e-05,0.00021943969269953137,0.00043083806169254583,8.100990338739811e-05,2.0209411493557103e-05,0.00012571628465629815,3.8375376758834984e-05,4.5443781651155895e-05,4.023248198200857e-05
DG(36:6)_C16:0,-1.0472837308056646,7.206457842131012,24.55730968934336,7.213218926752704e-07,0.00033252939252329964,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,DAG,4.277640027899456e-05,0.00027848112538712285,0.00010875056492091151,5.745616615909383e-05,5.331802837856587e-05,0.0001059643826992327,4.0789831632427154e-05,7.405014261231928e-05,9.608676084480239e-05,0.00038746542985570055,0.0007255004241925988,7.90687711344654e-05,4.872695759507684e-05,0.00028190207782178406,3.7823432042707424e-05,5.217439688772769e-05,0.00014683424738979665
FA(15:1),-0.9807970426397544,13.84296676201203,21.6149071183263,3.332516485178841e-06,0.001344253837209,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,FA,0.0016888431908486474,0.023596453828172617,0.005077765776569445,0.0025115304505720646,0.02120412838279365,1.550642827507243e-05,1.2173950568695047e-05,1.236220068958299e-05,0.007852031041305422,0.017002472760305823,0.04531675993040459,0.013848183421571231,0.03387908667761205,1.7804872845999014e-05,1.1772776627601095e-05,1.3556978886369808e-05,0.016324810947497808
"DG(37:7),DG(36:0)_C16:1",-0.9328268606572702,7.12535313617387,19.56787121209345,9.708825501245546e-06,0.0031330379892519,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,DAG,5.8641662062080706e-05,0.0002496733901569507,0.00013833584740926427,4.2397796525063654e-05,3.999742424119678e-05,0.00013679807852410227,5.7727074146711474e-05,9.701980551003247e-05,6.740057834475276e-05,0.0003073478647032918,0.0007066888810461664,0.00014593668310282059,3.124288987356308e-05,0.0002835179513109781,5.798758537759364e-05,8.144205702797804e-05,6.722771912498082e-05
FA(21:5),-0.9347905552644888,12.483424412785633,19.667689857542427,9.214628727353063e-06,0.0031330379892519,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,FA,0.001707697193953241,0.0028783679451371167,0.002355514734306671,0.0019072921341957876,0.005969277285420865,0.0027065978827873678,0.003772862044897546,0.0035235827672344725,0.005021251876159442,0.005329222239253998,0.011994402608128018,0.004612999161799873,0.011590290359184888,0.0032750326131032338,0.0025323328617083336,0.003320382941491709,0.007031349798731087
FA(14:2),-0.9220070929643313,14.855657443188006,19.14258067192532,1.2130812109600124e-05,0.0035587391525163,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,FA,0.001528816694877102,0.049589961376136124,0.0080020111420634,0.0028299306949220024,0.030602166823340913,2.643217306924858e-05,6.030710072946886e-05,0.00014333640042287743,0.01547785913678665,0.03766934759999416,0.08334044924014648,0.00300063608229254,0.04766461699966377,1.7793195873181438e-05,1.1769369570277234e-05,1.3562979599242183e-05,0.10344257331284291
[TG(45:3)]_FA16:0,-0.8856659231541695,5.316419345404081,17.623993506839696,2.6917086743917093e-05,0.0072384532435517,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,TAG,1.2927843443212242e-05,6.786154589743861e-05,1.9854240408856383e-05,1.25107075465126e-05,2.124629092167999e-05,3.65087790138995e-05,1.8421532207729627e-05,2.7561689814810598e-05,2.4524504582225064e-05,2.084566826243722e-05,0.00018722477379956443,1.7646199408241018e-05,1.764940163252827e-05,0.00013497847129931718,2.3112174766462077e-05,2.8613591991486368e-05,3.11968551297405e-05
FA(5:0),0.8672118375049602,11.682364696433693,16.96634605849613,3.80483057598013e-05,0.0094447602066829,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,FA,0.0017766939732810133,0.004527265344947525,0.0044189977320619,0.004761819258393263,0.002354639415808805,0.003495782455504803,0.005215098475212054,0.0046138247735169,0.000805418464870725,0.0008934019724704932,0.0010369803655634368,0.0007312201194545215,0.0018986714393911504,0.003328921938753136,0.004421285129499546,0.0035619863259337627,0.005520755561334651
"DG(37:7),DG(36:0)_C18:0",-0.7950658308311238,5.970483963245761,14.263742444612204,0.0001588963535032441,0.0366256094824977,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,DAG,4.940313697538852e-05,8.53015502816195e-05,6.297278074201346e-05,3.519001767311387e-05,1.9143409028629573e-05,6.70080851839816e-05,3.152463094197024e-05,3.7673340239416776e-05,7.050609031432609e-05,0.00011223889608258306,0.00025316987672566643,7.967559590113986e-05,1.7627555306527916e-05,9.118081338890605e-05,4.0038933593590766e-05,4.7196225483223456e-05,3.757409590304901e-05
FA(10:3),-0.7640710901445765,15.017966246242436,13.214312106545549,0.0002778194466848695,0.0597682236301382,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,FA,0.0025439423433573586,0.03709999252584539,0.007365965091477343,0.003931067486162729,0.01823248268623646,0.04968066969529692,0.02033187236547468,0.0332366410172824,0.017794668453391182,0.02607775028074654,0.08505981135877537,0.01090989668022123,0.028147612986798385,0.06584030298559178,0.018027513518144668,0.05297195183543907,0.06287464934246878
"[TG(51:7),TG(50:0)]_FA22:5",-0.6864454062576923,4.5962897203256015,10.630401772576777,0.0011124354353071,0.2243643218585062,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,TAG,1.69864904688689e-05,3.2886250465086e-05,2.4644595369830005e-05,2.153952638577029e-05,7.526036317132559e-06,2.1660964312177912e-05,1.615567801017371e-05,1.6308935992917982e-05,2.028885117328621e-05,4.093713182111422e-05,0.00010300616628016353,3.1502797123415293e-05,7.048129839462651e-06,2.892574908361087e-05,1.6095435150505856e-05,1.8876664093179973e-05,1.2252076821552987e-05
FA(30:1),-0.6805531364127355,11.890504258784995,10.50784462575757,0.0011886882564562,0.2256410002108485,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,FA,0.002118814292248514,0.001677275301281313,0.0034630902016757896,0.00547661298206364,0.005950094936324769,6.591637661911743e-05,0.0001494457116270121,0.00022483585066419484,0.01227244950617663,0.002369706587026045,0.005262563731602853,0.008271313746947104,0.006708129529919258,5.603196156552662e-05,5.650596548191369e-05,6.325103056188438e-05,0.0004117529935430478
FA(14:1),-0.6608334501492988,12.0171922386726,9.912788917119542,0.0016413420618817,0.2942561574273486,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,FA,0.0010315908101193073,0.006349387117022778,0.0017480917577843093,0.0010637976846308089,0.005020751275264502,1.5490576070342808e-05,1.2179112485544228e-05,1.2350537162645557e-05,0.0021537815882742405,0.004454515763031137,0.01039215817943755,0.0011969917343314614,0.006916198224937197,1.7796630334750423e-05,1.177981792850324e-05,1.3567936502173174e-05,0.012910053216024644
"PE(dO-38:9),PE(35:2),PE(O-36:2),PE(P-36:1)",0.6555414705362862,6.176565967723239,9.738991251046173,0.0018039987139599,0.3063949394709896,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,PE,0.00022825833169932072,0.0001170571329208757,0.0001878947325041899,0.0001922200051552004,1.3986512448838378e-05,2.2846288984761418e-05,1.910525385632639e-05,2.3541404171229684e-05,9.994277063075188e-05,5.916339434135283e-05,9.995995437248493e-05,0.00020815913108071182,1.0475630212122092e-05,3.078375027925982e-05,1.5874202917539838e-05,2.9341755568169953e-05,1.0730100806114347e-05
FA(22:3),-0.6310795223790487,12.220011880677747,9.047202881469277,0.0026309702815245,0.42450705492398,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Goingtosleep,FA,0.003433808233500992,0.0013442187658239816,0.002552059500570299,0.00389821676074583,0.008336464200347622,0.0010342486141266712,0.001057006258206097,0.0012239633019123345,0.019514698014033036,0.0016126403380876163,0.007537518110569954,0.00302509700500634,0.007869035217500773,0.0010579483387450574,0.0005428549003370803,0.000697415933280834,0.0011813512645744513
