lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDF-J,GDF-L,GDF-M,GDF-N,GDM-P,GDM-Q,GDM-R,GDM-S,G2F-J,G2F-L,G2F-M,G2F-N,G2M-P,G2M-Q,G2M-R,G2M-S,Blank1
FA(22:3),-1.7279816592775985,12.95735782484872,70.1648844670126,5.4548886132460105e-17,1.760292555494488e-13,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Wakingup,FA,0.003433808233500992,0.0013442187658239816,0.002552059500570299,0.00389821676074583,0.008336464200347622,0.0010342486141266712,0.001057006258206097,0.0012239633019123345,0.005312265658932793,0.047010128616417346,0.042498021301085535,0.007269221288547719,0.0008650343398826462,0.009451918228035889,0.0007151281291745464,0.0008801760946439937,0.0011813512645744513
FA(30:1),-1.3383034699533118,12.316802447565316,43.00806755239319,5.4514601560193065e-11,8.795930961737151e-08,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Wakingup,FA,0.002118814292248514,0.001677275301281313,0.0034630902016757896,0.00547661298206364,0.005950094936324769,6.591637661911743e-05,0.0001494457116270121,0.00022483585066419484,0.002018569284729045,0.018210516716454662,0.018610255273360046,0.011978483322792588,0.00017092121493628162,0.012258107981267731,6.292925105506199e-05,9.49567837767757e-05,0.0004117529935430478
FA(22:2),-1.250168662220989,11.54571158378088,37.68911880841918,8.296606801419763e-10,8.924383382727194e-07,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Wakingup,FA,0.001685234730650599,0.0008729977240070453,0.0013667682074121627,0.0019023823882269632,0.0036006662483018146,0.0005541014729371127,0.0006540556472596385,0.0007072913479719659,0.002594469935521589,0.014351169811678072,0.01219907684898429,0.0030114904938200013,0.0006279620445300165,0.004039796377015318,0.0005521103536086777,0.000575962051594832,0.0008428439539508924
FA(28:1),-1.219487858334254,12.710605180918977,35.913975343006314,2.0622421448369342e-09,1.663713850347197e-06,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Wakingup,FA,0.00873287448934269,0.00584330243576851,0.005976787502577551,0.007184505571352414,0.003859749540575886,0.0002490662428987216,0.0002032347003224219,0.00020639490639140322,0.022032148734175024,0.005446381171560131,0.022578856140372475,0.02852803238733052,0.0002523055545343193,0.007507066367302917,0.00012541028926518383,0.00015992715443262153,0.0007770775305735613
"DG(38:8),DG(dO-40:8),DG(37:1)_C16:1",0.9982024229721262,5.432627605077296,24.20421967923248,8.664224235132208e-07,0.0005591890321354326,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Wakingup,DAG,2.379242913217856e-05,3.7661042589910884e-05,0.00023469950623275745,2.8571993355334798e-05,1.2745730310048863e-05,0.00014628097694907604,2.552763733395887e-05,3.27409320128095e-05,3.621016770109999e-05,3.6961727864400093e-05,3.785552780225385e-05,3.807884643796801e-05,2.809060702117633e-05,1.6302739368535567e-05,3.0285908696768624e-05,2.4820432022228873e-05,2.535999109004788e-05
FA(30:2),-0.9338277223792268,11.861003118482316,21.30684508055856,3.9133163785929165e-06,0.0021047119922865,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Wakingup,FA,0.002587274272788267,0.002276425803001052,0.002936412800197392,0.008356818171763751,0.0031193227156592006,0.00013885826613095503,0.00012793171223790135,0.0001292620700241396,0.0024040034833457675,0.010361371062304711,0.01212635476409525,0.008625052102682617,0.0001564789029682289,0.007999009045860813,9.913078278760541e-05,0.00010658059267416768,0.000710629048150088
DG(32:3)_C16:1,0.8139615367497428,5.629241036075708,16.2065061143756,5.679870965783585e-05,0.0261842051522623,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Wakingup,DAG,2.304331569219547e-05,3.9130337050738054e-05,0.00022623868532299402,2.783768274383572e-05,2.260360714409886e-05,0.0001480196309249091,4.253409593367707e-05,4.995675304521981e-05,4.380937740946814e-05,3.5706920878528136e-05,4.8753071724671963e-05,5.101648614085453e-05,3.553449080806929e-05,1.9557008994601145e-05,4.325794355231478e-05,3.32545840740797e-05,2.4594378174116902e-05
FA(17:6),0.8013571553839478,10.994923620863098,15.75998663170867,7.190734023846253e-05,0.0290056233686898,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Wakingup,FA,0.003169931078302636,0.0028215274841994656,0.0027010617800675993,0.002690561572002525,0.0022916596821832983,0.002031735424267347,0.002333398201613033,0.001081551637915475,0.0023126785552195477,0.0017481895349715075,0.0016128080599986656,0.0024800817586072958,0.00020048389945726623,0.0027600420016001058,1.1597630444238561e-05,4.570661923106178e-05,0.002296268539721191
FA(22:0),0.6890524386974882,14.200205696326051,11.691165053554869,0.0006279756567735622,0.2251641604898094,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Wakingup,FA,0.02021911043952741,0.011371394646321075,0.01334888397898524,0.019005503712782597,0.04702736017340355,0.005791954795367135,0.008103456252917814,0.009853043731639225,0.010978867916661486,0.01481727825263068,0.01859669413115653,0.024595231464143164,0.005597588509144167,0.020644889380037848,0.005604624510785063,0.011110785640195119,0.019745879498876052
CAR(2:0),-0.6534830156099765,8.38807834641936,10.520727487593833,0.0011804300596805,0.3809247802589262,8,8,SampleType_Glia|SleepCondition_Deprived,SampleType_Glia|SleepCondition_Wakingup,CAR,0.0002511233791895631,0.00027326029125775256,0.0007364559308197379,0.00028785238337532813,9.39245694198195e-05,0.00022928600853129884,0.00018037906690709427,0.0002408051290714811,0.0002549276844775122,0.0022588460070802133,0.0002926550174658248,0.0003716766847563642,0.00018775921054295787,0.00010032426575165249,0.00023183423066539693,0.0002536377564040087,0.0001678795120532253
