lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4F-J,G4F-L,G4F-M,G4F-N,G2F-J,G2F-L,G2F-M,G2F-N,Blank1
DG(41:5)_C16:0,2.012621195850121,9.427040097788488,170.95985928258324,4.565906538512249e-39,1.473418039977903e-35,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,DAG,0.0012410480692584,0.005673912551518801,0.006206256057491303,0.0014736027237657735,0.0024055760792992386,0.0009760761086335009,0.0005675269977867528,0.0011876665398776057,0.0014513307985190458
FA(14:2),1.8849744931450736,15.224788367503216,151.40940505394974,8.529166929484817e-35,1.3761810840723754e-31,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,FA,0.07476306912757796,0.16651334456379813,0.20703011309206412,0.016800228790047302,0.08737845660343024,0.05650067766695848,0.01599253356548849,0.01601681023996303,0.3191916394243877
DG(42:5)_C16:1,1.8612982574248569,6.881513551497161,147.0032031846803,7.83485554516257e-34,8.427692948079871e-31,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,DAG,0.00022332886277785403,0.0009700098220298541,0.0010702660406779526,0.0004535654687349155,0.0002949991217000986,0.00016673879254449183,0.00018794201512814187,0.00038170154128935375,0.00012414493830418923
"DG(36:7),DG(35:0)_C16:0",1.7999790776534914,9.98717617287993,138.72079432419014,5.069385639728247e-32,4.089726864850764e-29,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,DAG,0.001237493685450807,0.008449259078079984,0.008567783951590004,0.002186297081939321,0.00414687291457401,0.0010571333571651243,0.0011490046025301377,0.001963575880296538,0.0025521286767272644
"DG(37:7),DG(36:0)_C16:1",1.7169897641220988,7.575468821070896,126.52359531382515,2.3617692429316047e-29,1.524285869388058e-26,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,DAG,0.00032556660798462625,0.0013585985464822537,0.001755520642111131,0.0008170833109208031,0.0006482600385475886,0.00034987569318387985,0.0002790364837237145,0.0004894746490390424,0.0002074438521300853
FA(17:2),-1.697861345362471,13.731212245935543,124.29276094774832,7.268763668828456e-29,3.909383393218239e-26,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,FA,0.026589218356235712,0.03599532042166026,0.02141065557561101,0.030603901556019292,0.028430997529116767,0.06964885406144877,0.21020360039154115,0.038474839960466925,0.015519360168740606
"[TG(51:8),TG(50:1)]_FA22:5",1.6922955591183977,6.147854767927101,122.41193161230608,1.87558547301273e-28,8.646449030588685e-26,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,0.00015311014281914467,0.00036863149771657484,0.0007476053098902104,0.000262641643681723,0.00026803715596189395,0.0001144527277186372,0.00011750045209737673,0.00018752728583363868,3.840647688558442e-05
"DG(42:11),DG(41:4)_C16:0",1.672943213182458,7.526096031386048,120.40765848913016,5.150949569138306e-28,2.0777642824511643e-25,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,DAG,0.0003827163919978406,0.0013868727410558924,0.0016076664186885031,0.0004856584318693934,0.0006744135731278464,0.0003334570223919,0.00026700084651172024,0.0003945796457865938,0.0003093784194620661
[TG(45:3)]_FA16:0,1.6793821884486415,5.440290640238822,119.77437881693577,7.088086380012383e-28,2.5414727498111065e-25,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,0.00011846129462715555,9.214605941426972e-05,0.000465094278309794,9.879911432203585e-05,0.00013081670296927927,7.470832819261862e-05,7.093721607945842e-05,0.00010121401913201674,9.626380140052725e-05
FA(22:3),-1.566597794518482,13.814552964110597,106.63349455659773,5.356025895923057e-25,1.7283895566143705e-22,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,FA,0.09426230745047716,0.0071285050945109766,0.01872431983619622,0.01693718278471284,0.026671605464485045,0.1649636815328817,0.1562048694969878,0.0381475928233987,0.0036452829313825337
