lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4M-P,G4M-Q,G4M-R,G4M-S,G4F-J,G4F-L,G4F-M,G4F-N,Blank1
DG(28:2)_C18:1,-6.799569157699934,10.353504351505483,378.29120978491824,2.930852096873324e-84,9.457859716610215e-81,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.554806235079893e-06,3.226774738780444e-05,2.1198539066337683e-05,2.431636166647751e-05,0.0025039040595409255,0.0027225277324302863,0.0024763937696032114,0.0035777585732223215,0.0015222316877198884
CAR(22:5)_QUAL,5.367303828989647,12.821254869118214,269.669380658318,1.3395732216971506e-60,2.1614013932083524e-57,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,0.008439314535474486,0.01965190208944158,0.015584532410014985,0.017878989254609814,0.0004749661952037352,0.00048068216826290043,0.00048007786485601794,0.00031904280126554427,0.00010623973124092007
FA(16:3),-4.668381750807438,15.642278227087347,218.1498044567179,2.2906883234686058e-49,2.46401707327773e-46,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,FA,0.004864158007344311,1.77986908806805e-05,1.1781180612798913e-05,1.3570284576920211e-05,0.09307026667930544,0.10185096914475336,0.09332502632275567,0.01999658142876758,0.1225598421053951
"LPC(18:0),PC(O-18:0),LPC(O-19:0)",-4.061482742871724,8.06095617496021,174.7354571143469,6.838743069493809e-40,5.294012664211425e-37,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,PC,1.2788254392477354e-05,3.627979375027741e-05,5.070532230333819e-05,3.3919711052881856e-05,0.00039049360890905453,0.0009043416851392243,0.0005813760382965006,0.0007718185224661897,2.4504965066893083e-05
"LPC(18:2),LPC(P-19:1)",-4.0587601773126245,7.236924818833435,174.37379088056684,8.202684636212311e-40,5.294012664211425e-37,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,PC,8.000236017863314e-06,1.9798532194856952e-05,3.093366294259806e-05,1.507070190193352e-05,0.00022272569610350639,0.0004989883400941257,0.00031752420735748217,0.00045838034053052596,1.5729302660286266e-05
"LPC(16:0),PC(O-16:0),LPC(O-17:0)",-3.8665605398009326,8.659025784969996,161.37836392932718,5.6558807382740114e-37,3.041921190401705e-34,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,PC,2.4345940425517134e-05,4.3325087330997586e-05,0.00010875378060019102,4.167147566239663e-05,0.0005225681771901481,0.0013164467863250446,0.0009614469621749669,0.00116593843406675,4.009974173542063e-05
CE(20:0),3.36137120025028,8.78865793986867,127.79235073792056,1.2462261699052119e-29,5.745102643263028e-27,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CE,0.00021074235361261066,0.0024193708300323195,0.0006440861080932334,0.0009175209820949315,9.41643712745725e-05,0.0001096403364071742,9.64842753175013e-05,0.0001010949884728146,6.45920491669322e-05
"LPC(18:1),PC(O-18:1),PC(P-18:0)",-3.2395123436543383,6.9826193741470615,119.8256448555018,6.907251813393015e-28,2.7862127002274075e-25,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,PC,1.214876497660656e-05,3.053716150658761e-05,2.851532743292527e-05,3.4948426853609274e-05,0.00020868400095068763,0.0003819679112002431,0.0002863321411684285,0.0003084494157367163,1.373088769763139e-05
DG(29:2)_C18:0,-3.192776503058379,6.554894595681065,116.77658964367168,3.2129601901183683e-27,1.1520247259457747e-24,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,8.531827837775181e-06,2.845970326061618e-05,1.8911716107999873e-05,2.1746789464590673e-05,0.00023157396415923024,0.00014293599943674732,0.00018550761057941557,0.00025860060894510376,5.112875260524792e-05
CAR(22:4)_QUAL,2.955558343630422,8.29526034589296,102.37533924369096,4.593848513058191e-24,1.4824349151638781e-21,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,0.0003245242293428093,0.0007997160535446054,0.0006217916289907141,0.000647745369966392,7.452787306676931e-05,0.00011554248521097613,6.79016666434684e-05,0.00011907034112109042,3.798432627817881e-05
