lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4M-P_x,G4M-Q_x,G4M-R_x,G4M-S_x,G4M-P_y,G4M-Q_y,G4M-R_y,G4M-S_y,Blank1
[TG(37:0)]_FA14:0,0,3.5079082891998734,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.56514973077619e-06,1.7297614532267024e-05,1.3833143152198343e-05,1.3724213550996943e-05,5.56514973077619e-06,1.7297614532267024e-05,1.3833143152198343e-05,1.3724213550996943e-05,9.20828716209725e-06
[TG(37:0)]_FA16:0,0,3.951563134800848,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.1597160838246515e-06,4.6484720442285416e-05,1.2958662795175706e-05,1.4483423208168995e-05,6.1597160838246515e-06,4.6484720442285416e-05,1.2958662795175706e-05,1.4483423208168995e-05,8.874650165951447e-06
[TG(37:0)]_FA18:0,0,7.668830827159279,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,0.000167529057683942,0.00040391025220827645,0.00014609204669221404,0.0002422418599333877,0.000167529057683942,0.00040391025220827645,0.00014609204669221404,0.0002422418599333877,1.0593952214393184e-05
[TG(38:0)]_FA14:0,0,4.196775572359765,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,8.303109126266046e-06,2.4902369128971577e-05,2.3469689119090274e-05,1.969196639274714e-05,8.303109126266046e-06,2.4902369128971577e-05,2.3469689119090274e-05,1.969196639274714e-05,2.1262713114949643e-05
[TG(38:0)]_FA16:0,0,3.948586603910486,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,1.0685169511521732e-05,2.8980699224107133e-05,1.1035260382234735e-05,1.6857323095027337e-05,1.0685169511521732e-05,2.8980699224107133e-05,1.1035260382234735e-05,1.6857323095027337e-05,1.0681742969266337e-05
[TG(38:0)]_FA18:0,0,3.843448538419321,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.3605374366175e-06,3.808387501288948e-05,1.1101130359337145e-05,1.4215221428943493e-05,6.3605374366175e-06,3.808387501288948e-05,1.1101130359337145e-05,1.4215221428943493e-05,1.1317211352848087e-05
[TG(38:1)]_FA14:0,0,3.474700126298222,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.159507094513252e-06,1.8788136659253125e-05,1.1179265751470078e-05,1.3239467437932321e-05,5.159507094513252e-06,1.8788136659253125e-05,1.1179265751470078e-05,1.3239467437932321e-05,1.1667887165221652e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0,4.679385684203539,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,1.393943861996382e-05,3.848123363517986e-05,2.8703170044892744e-05,3.380961239273225e-05,1.393943861996382e-05,3.848123363517986e-05,2.8703170044892744e-05,3.380961239273225e-05,1.6807619008621288e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0,4.679385684203539,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.895411297580543e-06,2.515067500141696e-05,1.2593198093366093e-05,1.6497285348657844e-05,6.895411297580543e-06,2.515067500141696e-05,1.2593198093366093e-05,1.6497285348657844e-05,9.293968388452163e-06
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0,4.406882705778108,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,1.0252860103427753e-05,3.589754708641884e-05,2.238351640224845e-05,2.71851823252236e-05,1.0252860103427753e-05,3.589754708641884e-05,2.238351640224845e-05,2.71851823252236e-05,1.713557653348088e-05
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0,4.406882705778108,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.49653406059184e-06,2.1777080436856613e-05,2.0744036328306465e-05,1.703890711085993e-05,5.49653406059184e-06,2.1777080436856613e-05,2.0744036328306465e-05,1.703890711085993e-05,9.155872392022528e-06
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",0,4.238608579729054,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,9.583831946406528e-06,3.028164372338696e-05,2.1615791100122333e-05,2.3450184480407354e-05,9.583831946406528e-06,3.028164372338696e-05,2.1615791100122333e-05,2.3450184480407354e-05,1.384464231136106e-05
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",0,4.238608579729054,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.095506951669441e-06,1.6893044130232687e-05,1.1553134438477507e-05,1.235502731004603e-05,5.095506951669441e-06,1.6893044130232687e-05,1.1553134438477507e-05,1.235502731004603e-05,7.791465243942308e-06
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0,4.591016797276018,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,1.124168446699299e-05,4.198293066850874e-05,2.853077258905599e-05,2.843983515687513e-05,1.124168446699299e-05,4.198293066850874e-05,2.853077258905599e-05,2.843983515687513e-05,1.8255435421213696e-05
