lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4M-P,G4M-Q,G4M-R,G4M-S,G2M-P,G2M-Q,G2M-R,G2M-S,Blank1
DG(30:2)_C18:1,2.390268703015612,7.039686780841964,48.45199383000352,3.3847401096846008e-12,1.0922556333952206e-08,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,5.146635276981883e-05,0.0001612882525811505,0.00014885994590207205,0.0002095715920674886,2.198144787411394e-05,1.3270464110554933e-05,2.3073976517953502e-05,4.0328862443393066e-05,0.00047890736684128135
DG(30:1)_C18:1,1.9153399859869955,5.923105971215752,32.17198309187222,1.411109880636908e-08,2.2768257924076512e-05,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,3.265971577927504e-05,6.401655935804802e-05,0.00018554383036485905,8.842626483485086e-05,2.197556807435003e-05,1.3273999054697362e-05,2.1527491509006915e-05,3.648943847654322e-05,9.570079022272418e-05
FA(17:6),1.4235414585168948,10.989144749279864,18.338755332104483,1.849071000331815e-05,0.0198898403935692,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,FA,0.0027078283202970096,0.002662852869079157,0.0024088643944198606,0.002760332715172697,0.00020048389945726623,0.0027600420016001058,1.1597630444238561e-05,4.570661923106178e-05,0.002296268539721191
FA(30:2),-1.387017029778368,10.90206503918848,17.442787114829116,2.960856097126383e-05,0.023886706563567,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,FA,0.002124751970513834,0.000154563039486181,9.16101046925916e-05,0.00017585512115075866,0.0001564789029682289,0.007999009045860813,9.913078278760541e-05,0.00010658059267416768,0.000710629048150088
"DG(36:7),DG(35:0)_C16:0",1.3239987505975803,8.397072138994332,15.938170426224588,6.544550253094442e-05,0.0422385273334715,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,0.00020466807357377115,0.0013012269777501106,0.00012121614557815428,0.00019138578420324287,0.00011538231667813467,0.00016119431421917547,0.00014422656480289343,0.00012579402329106727,0.0008270854406532996
DG(41:5)_C16:0,1.3024582636496873,7.503928208639469,15.434031044847018,8.543580395129792e-05,0.0459502232251397,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,8.806710833234495e-05,0.000753972470584738,4.566922429588087e-05,0.00010859567171607721,8.513851030459377e-05,6.130328786877295e-05,0.00010196082329377955,5.508618314317926e-05,0.0004703424964316991
FA(14:0),-1.267674133259998,12.74042175600389,14.656821821949052,0.00012896702353762358,0.0594537978508444,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,FA,0.007946835642935818,1.7791822154059503e-05,1.1774139485189106e-05,1.3558544302709237e-05,0.0019594277685004457,0.005463614540895454,0.022960329814106478,0.008676030202545829,0.006300746408330687
FA(15:1),1.2304921108359186,13.654608399433478,13.833783066374965,0.0001997128816657089,0.0805591836419053,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,FA,0.03387908667761205,1.7804872845999014e-05,1.1772776627601095e-05,1.3556978886369808e-05,1.2172925527576064e-05,0.01987824407474367,1.1600539412335717e-05,1.210560151704173e-05,0.016324810947497808
FA(25:4),1.089687211440483,10.019188862050552,10.915112700989994,0.0009538291315229634,0.3420007341582892,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,FA,0.002570261786880011,0.0001634429825441073,0.0002644342215139159,0.00026697906112603363,0.00027701384966077885,0.0013443300207493113,0.0002558675159404693,0.0002772718815225836,0.0008523328167937644
FA(16:3),-1.0676277191621772,14.30704008852965,10.487921135501892,0.0012015749205809,0.3877482268714651,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,FA,0.004864158007344311,1.77986908806805e-05,1.1781180612798915e-05,1.3570284576920211e-05,1.2175512673565523e-05,0.014069489397394604,1.1600763103599837e-05,1.210723224425916e-05,0.1225598421053951
