lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4F-J,G4F-L,G4F-M,G4F-N,G4M-P,G4M-Q,G4M-R,G4M-S,G2F-J,G2F-L,G2F-M,G2F-N,G2M-P,G2M-Q,G2M-R,G2M-S,Blank1
DG(41:5)_C16:0,1.8592435790191044,8.65043378165611,78.0498430023163,1.0047304107445417e-18,3.242265035472636e-15,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,DAG,0.00025692855339023253,0.0012835763086437898,0.002498342681678862,0.0002631955528198314,8.806710833234495e-05,0.000753972470584738,4.566922429588087e-05,0.00010859567171607721,0.00047912598336188173,0.0002781549428328369,0.0001544047539526138,0.00022631600728627367,8.513851030459377e-05,6.130328786877295e-05,0.00010196082329377955,5.508618314317926e-05,0.0004703424964316991
"DG(36:7),DG(35:0)_C16:0",1.6768158156435051,9.28392291192305,64.22026343675338,1.1125856001742982e-15,1.7951568658812302e-12,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,DAG,0.00025619270543035115,0.0019114268469495284,0.0034489811788901504,0.00039048765303508376,0.00020466807357377115,0.0013012269777501106,0.00012121614557815428,0.00019138578420324287,0.0008259454274465581,0.0003012540373932658,0.0003126049926011605,0.00037416954870020895,0.00011538231667813467,0.00016119431421917547,0.00014422656480289343,0.00012579402329106727,0.0008270854406532996
"DG(42:11),DG(41:4)_C16:0",1.4972780804541863,6.856668282073963,51.67432327811561,6.551395980711055e-13,7.047118276584858e-10,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,DAG,7.92320389439007e-05,0.00031374417165571256,0.0006471698225958857,8.674192670520245e-05,3.065847746156241e-05,0.0002404538782118046,3.644811330596907e-05,4.55003969947154e-05,0.00013432502476147398,9.502611341494677e-05,7.264183055882115e-05,7.51891940982498e-05,4.102367867507107e-05,3.260052997169474e-05,3.570296957352485e-05,2.0859162097778883e-05,0.0001002623373667571
"DG(37:7),DG(36:0)_C16:1",1.4597426934721769,6.992969211229387,49.22409825285655,2.283284139826705e-12,1.7691398321021714e-09,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,DAG,6.740057834475276e-05,0.0003073478647032918,0.0007066888810461664,0.00014593668310282059,3.124288987356308e-05,0.0002835179513109781,5.798758537759364e-05,8.144205702797804e-05,0.00012911594487329797,9.970498465781326e-05,7.591631725219104e-05,9.327192820451277e-05,5.959669745338675e-05,3.1929738640042074e-05,5.1308124022394335e-05,4.551464769278078e-05,6.722771912498082e-05
DG(42:5)_C16:1,1.454806370117114,6.274508240329668,48.865608881707885,2.7411525133284344e-12,1.7691398321021714e-09,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,DAG,4.623476162215657e-05,0.00021943969269953137,0.00043083806169254583,8.100990338739811e-05,2.0209411493557103e-05,0.00012571628465629815,3.8375376758834984e-05,4.5443781651155895e-05,5.875588200753352e-05,4.751598661006049e-05,5.113261697925964e-05,7.273520462109309e-05,3.0826851429069277e-05,2.7839807916647973e-05,3.457113347645423e-05,2.846555513884583e-05,4.023248198200857e-05
FA(15:1),1.36761076373887,13.75749560899248,43.46761801253592,4.310334021745472e-11,2.3182413146954398e-08,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.007852031041305422,0.017002472760305823,0.04531675993040459,0.013848183421571231,0.03387908667761205,1.7804872845999014e-05,1.1772776627601095e-05,1.3556978886369808e-05,0.009724150152114043,0.009164752197461322,0.003056344661254264,0.009634501140042185,1.2172925527576064e-05,0.01987824407474367,1.1600539412335717e-05,1.210560151704173e-05,0.016324810947497808
DG(36:6)_C16:0,1.3252349824210452,7.1498728073759565,40.85599664616792,1.638696507769054e-10,7.55439090081534e-08,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,DAG,9.608676084480239e-05,0.00038746542985570055,0.0007255004241925988,7.90687711344654e-05,4.872695759507684e-05,0.00028190207782178406,3.7823432042707424e-05,5.217439688772769e-05,0.0002026380096431361,0.00012451377542486143,7.652613194128088e-05,0.00010380102737017018,4.021578850827713e-05,3.5095069004599806e-05,5.5362192925053635e-05,3.5245819229800255e-05,0.00014683424738979665
"[TG(51:8),TG(50:1)]_FA22:5",1.2834501408153858,5.4059429219337645,38.30571034500605,6.048539106742052e-10,2.439829462182076e-07,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,TAG,3.169769848431556e-05,8.339336441874044e-05,0.0003009502407645517,4.690959882706333e-05,8.006082249464842e-06,2.5286333089120293e-05,1.5606180453765082e-05,1.963561279786668e-05,5.338578440020703e-05,3.261589096797929e-05,3.196786842946526e-05,3.5734295075345445e-05,1.8264209851880346e-05,9.72010731284266e-06,2.0587203338302465e-05,1.6375795822556053e-05,1.2446644304623752e-05
"DG(38:8),DG(dO-40:8),DG(37:1)_C16:1",1.154697226659194,5.565505060870605,31.20024407053108,2.327368132152837e-08,8.344907736063562e-06,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,DAG,2.580723719530189e-05,5.155693529103368e-05,0.00013178612248648263,0.00022389219263969757,1.276404940085815e-05,0.00013037055961081346,2.85546220769692e-05,2.9686399556247334e-05,3.621016770109999e-05,3.6961727864400093e-05,3.785552780225385e-05,3.807884643796801e-05,2.809060702117633e-05,1.6302739368535567e-05,3.0285908696768624e-05,2.4820432022228873e-05,2.535999109004788e-05
FA(22:3),-1.096084581394652,13.158482405059283,28.27324058668455,1.0534221776962583e-07,3.3993933674258253e-05,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.019514698014033036,0.0016126403380876163,0.007537518110569954,0.00302509700500634,0.007869035217500773,0.0010579483387450574,0.0005428549003370803,0.000697415933280834,0.005312265658932793,0.047010128616417346,0.042498021301085535,0.007269221288547719,0.0008650343398826462,0.009451918228035889,0.0007151281291745464,0.0008801760946439937,0.0011813512645744513
