lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G2M-P,G2M-Q,G2M-R,G2M-S,G2F-J,G2F-L,G2F-M,G2F-N,Blank1
DG(28:2)_C18:1,-6.046525298912556,10.299508315568476,424.9245035240981,2.0681618094165485e-94,6.673958158987202e-91,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,DAG,3.940907357470957e-05,3.580686635714784e-05,2.075525612739447e-05,2.1716508956007967e-05,0.0026533782906664606,0.0026219927256960975,0.0025407550087189214,0.003156852682865157,0.0015222316877198882
CAR(22:5)_QUAL,5.5634599015202,12.842768351496217,376.850839402414,6.033793011292427e-84,9.735525023720332e-81,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CAR,0.015385901525382942,0.007437923514696056,0.008665271250447422,0.029890456177330285,0.00026141319497501026,0.0004413509701299935,0.0003730846138963049,0.0006044199295214219,0.00010623973124092005
DG(30:2)_C18:1,-4.761087487840227,8.651544690595397,297.4975924887791,1.1560301973203029e-66,1.243503148917539e-63,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,DAG,2.198144787411394e-05,1.327046411055493e-05,2.30739765179535e-05,4.0328862443393066e-05,0.0008284643398165294,0.0008148032558917528,0.0008227058080579633,0.0009681566671974533,0.0004789073668412813
"LPC(18:2),LPC(P-19:1)",-4.198242196999396,7.553262764923213,243.92741150566823,5.474983576601783e-55,4.4169430004234894e-52,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,PC,3.2190269918811655e-05,1.127986619354417e-05,1.8037327070717132e-05,1.9332711749597482e-05,0.00016044958079741077,0.000627188876956928,0.0007111134659320204,0.00041906465326149516,1.5729302660286266e-05
"LPC(16:0),PC(O-16:0),LPC(O-17:0)",-4.044278041992071,8.889989790376072,230.0549006984633,5.7992210656876744e-52,3.7428172757948245e-49,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,PC,6.806296954932894e-05,4.0105499457771246e-05,5.882505768197609e-05,5.274828110082469e-05,0.00046543881354512573,0.0017152453140714511,0.001638470010833946,0.0010104019498729374,4.0099741735420626e-05
"LPC(18:0),PC(O-18:0),LPC(O-19:0)",-3.9577802084687472,8.402147937676933,222.0498947784544,3.230416168042309e-50,1.7374254957120883e-47,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,PC,4.503820238973128e-05,3.0475604285149587e-05,5.554232926782968e-05,3.4416895185330984e-05,0.0003712214121194652,0.001147742642856033,0.0012097542170897496,0.0006930805126599555,2.450496506689308e-05
CE(20:0),3.605571373877674,8.922673842802656,190.5293015301773,2.4366703452233858e-43,1.1233050291479808e-40,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.000547891251822416,0.0010051344280536246,0.0008932437711503189,0.0009339972080653475,9.483826071162764e-05,0.00010973904395902311,7.753452846871143e-05,0.00011225169964350335,6.45920491669322e-05
FA(16:3),-3.581546816674035,15.65132567181096,188.5598587688473,6.556754187796744e-43,2.6448307205025116e-40,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,FA,1.2175512673565523e-05,0.0140694893973946,1.1600763103599835e-05,1.210723224425916e-05,0.0989397436214539,0.10983306482489398,0.0981809330941199,0.009722519019530904,0.12255984210539508
"LPC(18:1),PC(O-18:1),PC(P-18:0)",-3.350298382384149,7.27699439836342,168.12860473893886,1.8963165366318455e-38,6.799348293012184e-36,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,PC,3.806235368758653e-05,2.3884912156584806e-05,2.4599203344948125e-05,2.3667439714059352e-05,0.00016688353485861909,0.0005178443808290594,0.0005096962776959968,0.00032701449273088944,1.3730887697631388e-05
CAR(22:4)_QUAL,3.1384551136303926,8.310214830440602,150.52932151306186,1.3282014841856211e-34,4.2861061894669983e-32,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CAR,0.000612002966233304,0.0003071475008505816,0.0003585206840982233,0.001102656951361459,6.879213629739313e-05,0.0001427565081219781,5.822846008597517e-05,8.191875217912003e-05,3.798432627817881e-05
"PE(O-38:9),PE(36:2),PE(O-37:2),PE(P-37:1)",-2.890014933731351,7.076634163690457,130.24686286877844,3.618568663206371e-30,1.0615564614697236e-27,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,PE,2.5341426614178158e-05,1.7788264341337603e-05,3.5999019733158445e-05,5.272265378134926e-05,0.00013732966666905853,0.00046023106474295456,0.0003033147078808403,0.0003896347283488696,2.230467999279229e-05
