lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G2M-P_x,G2M-Q_x,G2M-R_x,G2M-S_x,G2M-P_y,G2M-Q_y,G2M-R_y,G2M-S_y,Blank1
[TG(37:0)]_FA14:0,0,3.333844300568596,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2137176151217764e-05,7.288914014016025e-06,1.0645258890574177e-05,1.1313720238061142e-05,1.2137176151217764e-05,7.288914014016025e-06,1.0645258890574177e-05,1.1313720238061142e-05,9.20828716209725e-06
[TG(37:0)]_FA16:0,0,3.417005637846264,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.1898924821949394e-05,8.0927602634594e-06,1.1642160883140094e-05,1.2576210470970518e-05,1.1898924821949394e-05,8.0927602634594e-06,1.1642160883140094e-05,1.2576210470970518e-05,8.874650165951447e-06
[TG(37:0)]_FA18:0,0,7.034564648736343,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,0.0003765160994412425,7.172260776407404e-06,0.0001816597277886783,0.00010888122039292329,0.0003765160994412425,7.172260776407404e-06,0.0001816597277886783,0.00010888122039292329,1.0593952214393184e-05
[TG(38:0)]_FA14:0,0,3.8068373152161032,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.3122403081426304e-05,9.686737458477373e-06,1.6004138954232375e-05,1.2810117134138109e-05,1.3122403081426304e-05,9.686737458477373e-06,1.6004138954232375e-05,1.2810117134138109e-05,2.1262713114949643e-05
[TG(38:0)]_FA16:0,0,3.8134009939690823,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.8242571887292265e-05,1.3255617302005549e-05,1.472864154959839e-05,1.1066534021659975e-05,1.8242571887292265e-05,1.3255617302005549e-05,1.472864154959839e-05,1.1066534021659975e-05,1.0681742969266337e-05
[TG(38:0)]_FA18:0,0,3.688733626623689,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.3133692192898619e-05,7.587404598155064e-06,2.0328747353098585e-05,1.3054507634072855e-05,1.3133692192898619e-05,7.587404598155064e-06,2.0328747353098585e-05,1.3054507634072855e-05,1.1317211352848087e-05
[TG(38:1)]_FA14:0,0,3.5037030228934243,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2747974349704848e-05,8.498289140702469e-06,1.1967748319678615e-05,1.2219293083135824e-05,1.2747974349704848e-05,8.498289140702469e-06,1.1967748319678615e-05,1.2219293083135824e-05,1.1667887165221652e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0,4.468865795061855,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,2.468923403500007e-05,1.7330559869787208e-05,2.521546987528185e-05,2.526494782984098e-05,2.468923403500007e-05,1.7330559869787208e-05,2.521546987528185e-05,2.526494782984098e-05,1.6807619008621288e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0,4.468865795061855,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.604703798559945e-05,9.12043936370901e-06,1.3954839475516584e-05,1.3924901287642306e-05,1.604703798559945e-05,9.12043936370901e-06,1.3954839475516584e-05,1.3924901287642306e-05,9.293968388452163e-06
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0,4.2987282583051485,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,2.260259470141852e-05,1.3936730340447628e-05,2.2068794960943332e-05,2.2994142716062018e-05,2.260259470141852e-05,1.3936730340447628e-05,2.2068794960943332e-05,2.2994142716062018e-05,1.713557653348088e-05
