lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDF-J,NDF-L,NDF-M,NDF-N,N4F-J,N4F-L,N4F-M,N4F-N,Blank1
FA(14:2),-1.7019188033167043,15.56387001827662,101.57449841790368,6.882567252577388e-24,2.2210044524067232e-20,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,0.060974212732110754,0.008127495285058546,0.0027377583152811405,0.0035497556974348034,0.17845464170020045,0.007659342267195692,0.0021589321172215733,0.0020834755158699253,0.10344257331284291
DG(33:5)_C18:1,-1.5167188608121265,8.26893042317973,81.41555585850045,1.8291250799360056e-19,2.951293316476745e-16,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,0.00018206361855957424,0.0001792713571725856,0.0001765525229947194,0.0001977436893615437,0.00011555745913881982,0.00017782846764126154,0.00022546838665854006,0.0012729438891647513,0.00014749616810836433
FA(22:3),-1.4967299299389465,13.323001915295436,79.48932897752093,4.848368790557087e-19,5.215228695709241e-16,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,0.005726709239275563,0.0016321526337559642,0.0082572075968721,0.010715114204222661,0.0012141331349559237,0.041603813358983284,0.026846600608881832,0.001892993442580543,0.0011813512645744513
FA(22:2),-1.2560554683607232,11.873929331412448,56.66596628550181,5.164977817502231e-14,3.3334766834159394e-11,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,0.002265038725770519,0.001150825311055633,0.002972330430284226,0.004329481197893074,0.0007430498888326215,0.01351932744054075,0.00921421714790833,0.0010071845578751941,0.0008428439539508924
FA(5:0),1.2584652603896005,11.2148522564571,56.86801665526036,4.660644628957492e-14,3.3334766834159394e-11,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,0.0038072430760537914,0.0012253867749678472,0.0017433489899465748,0.004036657314077597,0.0005328118209649724,0.0009004955214001246,0.0014197393337348496,0.0012173343086188267,0.005520755561334651
"DG(36:4),DG(O-37:4)_C18:1",-1.1207251861207927,6.661085047290838,45.19485155681152,1.7837339597099432e-11,9.593515813306644e-09,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,7.632372690752387e-05,6.756211324650739e-05,6.568783875822559e-05,8.72602383999328e-05,4.693423151563083e-05,6.120571134326902e-05,8.258726742986967e-05,0.00036030402023149875,4.3570314586222304e-05
"DG(44:9),DG(43:2)_C18:1",-0.9938884539206538,7.071459572657528,35.77098975916718,2.2192802136802284e-09,8.952021561932624e-07,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,5.754249578795921e-05,5.92793623414361e-05,0.0001898023552303789,0.00012106430021167524,8.651095362914756e-05,0.00047586149415359354,0.00017842557942890526,5.391762926486679e-05,2.651814706964183e-05
FA(15:0) | FA(16:7),-0.9933498243893156,12.69657016636772,35.84161776842302,2.1402685704735077e-09,8.952021561932624e-07,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,0.0068457844653732275,0.003335888704914154,0.0021903829733202,0.004258304577222004,0.01662865476633346,0.002554189824896427,0.003655031398242203,0.004110213580196977,0.010762694628226347
FA(30:1),-0.9281150688794296,12.865585061387907,31.36504136072472,2.137959423201152e-08,7.665772287411239e-06,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,0.004184752401502187,0.0025863218837821073,0.01437425701470968,0.0033350291067090745,0.004438405907038408,0.020717722438419763,0.017713953763170403,0.0029729014644298978,0.0004117529935430478
FA(16:2),-0.8914816544003782,12.355736105079238,28.97275922355766,7.340329856988086e-08,2.3687244448500557e-05,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,0.0030998292896724693,0.004237184117566255,0.0010926725545200603,0.0017306063822680254,0.011779012694582196,0.0011530790405894138,0.0009698718118923094,0.0010193797036597266,0.015035396679523368
DG(32:5)_C18:1,0.8818717239020512,7.776669894178915,28.311661711503803,1.0327196048237257e-07,3.029623786151057e-05,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,0.00013130069172675876,0.001045012195070059,0.00010367183802713617,9.934959235517636e-05,0.0002166687158960743,0.00012618264167703973,0.00019952131898949725,0.00012019764196467948,3.209050357567749e-05
FA(17:2),0.8588679215448627,12.979778551580788,26.923660759916856,2.1165188820603715e-07,5.6916720270073485e-05,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,0.005687258052793978,0.009287489238815854,0.02452617106365483,0.005814381279775274,0.003941014556570287,0.007714441375741847,0.007126248184230862,0.004678553349733354,0.005029463036432863
"DG(36:7),DG(35:0)_C16:0",-0.8561941939739144,9.353358005025944,26.739738317417505,2.327846491340209e-07,5.778431251965273e-05,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,0.0011599181893256851,0.00029015742742762463,0.00019169290711469418,0.00021232374757368746,0.0022388403636916126,0.00014535896358776153,0.00015601531860575434,0.00011264007141801475,0.0008270854406532996
DG(36:6)_C16:0,-0.7620835970822398,7.156733489126666,21.193289737100717,4.152156997569119e-06,0.0009113803319474668,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,0.0002489886763712507,5.7309175574509124e-05,6.868808228147755e-05,6.526767491823756e-05,0.00046690566865579197,4.737336655420074e-05,4.9650632201278484e-05,3.443530815473088e-05,0.00014683424738979665
FA(24:10),-0.7557668714006026,12.641920594648829,20.91500170131985,4.801197906137879e-06,0.0009113803319474668,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,0.004693359413751164,0.00610089435470861,0.005284553906334945,0.005294712039367714,0.007955049477407545,0.007900976809374518,0.010013455584862031,0.006548243617283244,0.0038895663619059944
FA(30:2),-0.7577578872495041,12.642590032946435,21.02422124907025,4.535136764118615e-06,0.0009113803319474668,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,0.0044576761782592084,0.0032263456469121873,0.010825359806220547,0.004176745771066751,0.0046087282719068385,0.015805445157759574,0.013484305022915246,0.003003879706089832,0.000710629048150088
FA(46:0),-0.7605075377232217,7.559840531281588,21.127998727466547,4.296051675798957e-06,0.0009113803319474668,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,0.00012814804025624305,0.0001378884645032733,0.00016347358634701657,0.00020950420348855636,9.733033905589677e-05,0.00032999810541723697,0.00039951085302619254,0.0001856795025022788,0.00010460302604275629
"PC(38:8),PC(37:1),PC(O-38:1),PC(P-38:0)",-0.7538593800365783,4.695812374933969,20.477928026729906,6.032287792557281e-06,0.0010814551503656,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,PC,1.4979939860722245e-05,2.0276873433806086e-05,2.9741207203206028e-05,2.4517528672718964e-05,2.6126826847387254e-05,4.146410207924832e-05,3.407561148611935e-05,3.3786487684378895e-05,1.014509984980179e-05
"PC(O-40:9),PC(38:2),PC(P-39:1)",-0.7469195756673997,5.648683899685207,20.2695490944476,6.7262638881958736e-06,0.0011424028193267,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,PC,1.771042075625331e-05,6.304051569477969e-05,5.355279099842212e-05,4.547447740508842e-05,6.105036196957882e-05,8.254551832085588e-05,5.442921021457802e-05,6.81658447488777e-05,9.77154319278388e-06
DG(28:1)_C18:0,0.7392026452797867,6.966012468756079,19.951427637892955,7.943462066218817e-06,0.0012714934023659,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,9.140338142543215e-05,0.00038219317473531255,0.0001088564944181566,0.00014387990608665636,7.751353705425408e-05,8.938776403457777e-05,0.0001297893611609608,9.577012438350901e-05,5.469587888212995e-05
FA(26:6),0.7365980419063576,10.520778626444049,19.873401163245035,8.274360536003876e-06,0.0012714934023659,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,0.0018039025791494988,0.001753338969877251,0.0017603919565104432,0.002142593672969444,0.0007325377671177134,0.0010581933080205629,0.0012022302907074168,0.0010310159600219451,0.0017488185139611096
DG(34:2)_C18:1,-0.7294118628608849,7.155958214540028,19.43928675418809,1.038487123666278e-05,0.0015232717945777,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,0.00013881373227073515,0.00011420365262305211,0.00011467218485766329,0.00012257334594396538,0.00011429347545995927,9.075430668038538e-05,0.00013203562332611318,0.0003643857533752132,7.372179539057959e-05
"PC(19:1),LPC(20:1),PC(O-20:1),PC(P-20:0)",-0.703297944937592,4.580015541537471,17.8290272725297,2.416682239908672e-05,0.0033907102557327,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,PC,1.448037725769209e-05,2.6644697572708094e-05,2.179135317014405e-05,2.2719839239787162e-05,2.561963542476496e-05,3.0597859711555863e-05,3.388049966652058e-05,3.416633967946606e-05,8.050293739633671e-06
DG(32:5)_C18:0,0.6977780233776546,4.804753825246957,17.588330712981758,2.742661704718249e-05,0.0036877372171357,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,2.2987332096532557e-05,9.102986956686429e-05,2.0128668857040077e-05,2.3663194279817457e-05,1.5878363867170314e-05,2.3539854591735325e-05,2.96991070047249e-05,1.944183344367061e-05,1.4710541029464857e-05
[TG(37:0)]_FA18:0,0.683250710472487,6.6075331905144665,17.05983377168991,3.622032313113467e-05,0.0046753193097668,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,0.00016236709927660797,4.357387018308728e-05,8.398037679052984e-05,0.00031369520748256716,5.638842288552743e-05,5.039647488528493e-05,0.00011903232956795967,0.00010551566060021454,1.0593952214393184e-05
PC(40:5),-0.6663369246181399,5.709708431752475,16.174958304684765,5.775255577282954e-05,0.0071679806722661,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,PC,1.5607742201984914e-05,7.029498637800625e-05,6.329431547471785e-05,4.558238187932244e-05,6.359526015408498e-05,8.631651045263847e-05,5.506828291470693e-05,6.852820116012845e-05,8.046886013529883e-06
DG(34:3)_C18:1,-0.6560165382269129,7.782488116283328,15.772619036481274,7.142879518813696e-05,0.0085370637804488,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,0.0001581999450138356,0.00019838329470907624,0.0001577345502938237,0.00028290491349782507,0.0001321909026249024,0.0001340725625845693,0.00016926360751060268,0.0006306235791772859,0.00010184613866873582
