lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDF-J,NDF-L,NDF-M,NDF-N,N2F-J,N2F-L,N2F-M,N2F-N,Blank1
DG(32:5)_C18:1,1.4807673541543993,7.743478345756367,112.89603825780624,2.2739050015563943e-26,7.337891440022484e-23,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.00013130069172675876,0.001045012195070059,0.00010367183802713619,9.934959235517636e-05,0.00014143653734431422,0.00015875615162724472,0.0001438707129585354,0.00011185470071514822,3.209050357567748e-05
FA(14:2),1.4632892051099735,14.8373209967565,110.71621922729544,6.827711703947636e-26,1.101651283431951e-22,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.060974212732110754,0.008127495285058546,0.002737758315281141,0.0035497556974348034,0.0053169791261137534,0.019959957490761276,0.00283500644566393,0.004422918015020487,0.10344257331284291
FA(10:3),1.404764441393061,14.648752321364215,102.35344078287017,4.6449115398560076e-24,4.996376513038445e-21,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.08211972098567838,0.007129791996557045,0.003166041483566795,0.004063278728470439,0.0070323134599945035,0.027565870907921678,0.003811817990329025,0.005137728099393675,0.06287464934246877
FA(15:1),1.249387118000857,13.101890825315843,81.58069953028462,1.6824922998011837e-19,1.357350662864605e-16,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.028135144636186476,0.004354465462757248,0.0024551795877027767,0.0027142217077792278,0.0034478326636252234,0.009177903267164545,0.002319572086523379,0.0035180600450069916,0.016324810947497805
[TG(37:0)]_FA18:0,1.0814520172604165,6.616041847947382,61.16171356252036,5.257404004954519e-15,3.3931285447976467e-12,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,TAG,0.00016236709927660797,4.357387018308728e-05,8.398037679052985e-05,0.00031369520748256716,2.9188787160455306e-05,2.8093503132184424e-05,0.00016270798773147053,7.35873172416512e-05,1.0593952214393183e-05
PS(P-36:0),1.073416478685158,5.593708356282524,59.82614629490867,1.0361761747964568e-14,5.572900860113611e-12,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PS,6.924079891562252e-05,5.388256722280134e-05,7.726641988103841e-05,7.83554144745158e-05,5.059796575451579e-05,2.9728011238227597e-05,3.4501233559987947e-05,3.3689369659972434e-05,1.4202133854505439e-05
"DG(38:8),DG(dO-40:8),DG(37:1)_C16:1",1.0133867677867257,5.41681136248556,53.30770847844983,2.851852610751965e-13,1.314704053556656e-10,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,5.08931512610362e-05,8.832338174532242e-05,4.897415662708397e-05,4.119660192030743e-05,3.7640124914059984e-05,3.45182197857076e-05,2.587861804120394e-05,3.0477774236754674e-05,2.5359991090047876e-05
DG(41:5)_C16:0,0.9825287333081282,8.24865083778135,50.88195824949298,9.809108593150156e-13,3.956749178761944e-10,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.0009296021164319201,0.00015936587174782043,0.00012263292353549524,0.00011256088279711955,0.0003733431830401033,0.00021720793285474028,0.00010109076412520712,9.248785251416001e-05,0.00047034249643169903
"DG(42:11),DG(41:4)_C16:0",0.9265855921024236,6.5176812961714425,45.08366117553703,1.8879401685374152e-11,6.769314359855821e-09,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.00025532994506469506,6.375341729111991e-05,5.6792014692724896e-05,6.030163975539483e-05,0.00010479353742547795,8.386563812091307e-05,4.180646595418858e-05,3.587538769376889e-05,0.00010026233736675709
"DG(35:4),DG(O-36:4),DG(dO-37:4)_C18:1",0.9111050421768306,6.57951043925629,43.68721478958702,3.8528056427447744e-11,1.2433003809137389e-08,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,7.758478724025159e-05,0.0002586311988738948,0.00011592174660896801,8.46319528782238e-05,7.481010024648467e-05,8.649252633348546e-05,0.00011422638478158097,4.5048943734880045e-05,2.0976460439006438e-05
