lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDM-P,NDM-Q,NDM-R,NDM-S,NDF-J,NDF-L,NDF-M,NDF-N,Blank1
FA(14:0),-9.716675279317894,12.662220450894193,1514.1917360820255,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,FA,1.6979244179967578e-05,1.469442706376124e-05,1.950955295401745e-05,1.8966654151354915e-05,0.01170271593327461,0.009873148407069609,0.005460471163912128,0.018037223732999964,0.006300746408330687
FA(16:3),-12.94439455598322,16.14490771540598,2148.6231717082696,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,FA,1.6986407796564386e-05,1.4694427009897624e-05,1.9518127886943492e-05,1.8970297953224166e-05,0.10346444690031657,0.10353402068809019,0.09481423609140062,0.11312875459456387,0.1225598421053951
FA(15:1),-9.4936535102833,12.887992809258074,1470.428153040393,1.042e-321,1.12136e-318,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,FA,1.6977290178391783e-05,1.4699510173123925e-05,1.951439976653809e-05,1.8958274282702277e-05,0.028135144636186483,0.004354465462757248,0.0024551795877027762,0.0027142217077792278,0.016324810947497808
FA(15:0) | FA(16:7)_2,-8.978601557554045,12.415578232741716,1369.438039091809,9.197302451910816e-300,7.419923753079052e-297,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,FA,1.6974685153500857e-05,1.469725118696771e-05,1.9507689036033425e-05,1.8963374993756497e-05,0.01614175126006825,0.0034518269870038136,0.002398450555304108,0.004539150442949531,0.012273218136278708
FA(14:2),-8.873301917217988,14.788603196411149,1351.9764170494163,5.73041496062764e-296,3.69840981558908e-293,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,FA,6.594464593727871e-05,4.056683008688861e-05,4.39772087390744e-05,6.478029521154647e-05,0.06097421273211077,0.008127495285058546,0.0027377583152811405,0.0035497556974348034,0.10344257331284291
FA(15:0) | FA(16:7),-8.297270850816142,11.96066847221106,1236.0825539139514,8.783134079023625e-271,4.723862278834874e-268,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,FA,1.698445398131467e-05,1.4698380760841241e-05,1.9515145205734893e-05,1.8949893858083523e-05,0.006845784465373229,0.003335888704914154,0.0021903829733202,0.004258304577222004,0.010762694628226347
FA(16:6),-8.049351750294417,11.62021441987651,1187.6511142260551,2.9448830024671908e-260,1.357591064137375e-257,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,FA,1.6981849080641123e-05,1.470148707552754e-05,1.951290839037912e-05,1.895863857949428e-05,0.0037703855668986567,0.0036727373952407504,0.0028972018628848463,0.003606440073301761,0.007932185064304105
FA(14:1),-7.811904994406657,11.89800476708135,1141.3229045650028,3.449342704664057e-250,1.3913786134938639e-247,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,FA,1.6968498133985443e-05,1.4687649620520071e-05,1.9508807443711312e-05,1.8955723579696344e-05,0.007910754375527298,0.0016066484896983444,0.0010041591705021663,0.0012307164787375465,0.012910053216024644
FA(16:2),-7.592011739282746,11.969667622691937,1098.486278692278,7.045042875711904e-241,2.5260392622135906e-238,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,FA,1.6984454105532056e-05,1.4704311144870399e-05,1.950321519199387e-05,1.896337527173955e-05,0.0030998292896724697,0.004237184117566255,0.0010926725545200603,0.0017306063822680254,0.015035396679523368
FA(16:5),-7.221410283011377,10.258862695220463,1026.4520502624116,3.196082400373709e-225,1.0313757906005961e-222,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,FA,1.6979243931532808e-05,1.4717583947600146e-05,1.9519618978665108e-05,1.898013563450671e-05,0.0018561180572479483,0.0029861452611031902,0.0010663880190348437,0.0019929150020342864,0.0014937258663745131
