lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDM-P,NDM-Q,NDM-R,NDM-S,N4M-P,N4M-Q,N4M-R,N4M-S,Blank1
"DG(36:7),DG(35:0)_C16:0",3.0552286680859475,10.636652597473214,249.9383848335179,2.678380954164724e-56,8.643135339089564e-53,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,DAG,0.00022153024137479518,0.0005463108043144444,0.0019011927093768965,0.01035909138741259,0.00015283471866394966,0.0004100123440846002,0.00018083435901118753,0.000620253987023203,0.0008270854406532996
DG(41:5)_C16:0,3.0154682029405704,9.854082664164697,244.2245618889355,4.716232340672829e-55,7.609640881675611e-52,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,DAG,0.0001270791053082706,0.00022475097330558268,0.0012197407380265114,0.0060289406169433376,9.367359909975419e-05,0.00025300313088258154,0.00011651436692933695,0.00035229367793755337,0.0004703424964316991
DG(36:6)_C16:0,2.834193495156229,8.41778326505422,218.80147948963256,1.6512569238075299e-49,1.7762020310423e-46,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,DAG,8.440191533061554e-05,7.992837538732514e-05,0.00043230008555058115,0.0022193517237858616,5.52246776461512e-05,0.00010737727018471104,4.587544029325047e-05,0.00013699168180927128,0.00014683424738979665
FA(16:0),-2.8218972597691763,14.428183575644674,217.6150029464443,2.9965731778715165e-49,2.417485411247846e-46,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,FA,0.004125619913129993,0.002236192787461166,0.008768696370458136,0.0028234394804062474,0.03380717612223059,0.014380458773104138,0.030495275440489463,0.05071334324410139,0.034730020670695604
"DG(37:7),DG(36:0)_C16:1",2.725108749396091,8.58033396932639,204.2107067934401,2.517723213213489e-46,1.624938561807986e-43,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,DAG,9.823168249207912e-05,0.00016612745374256906,0.0005471972993934557,0.00247719735993086,9.364053234154925e-05,9.585058123832616e-05,7.381548599101554e-05,0.0001951002229632787,6.722771912498082e-05
"DG(42:11),DG(41:4)_C16:0",2.521279468210699,7.973684224169888,177.53384563636334,1.674564923565383e-40,9.006368347242487e-38,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,DAG,5.990130631104398e-05,8.041636492818397e-05,0.0003297684910173961,0.001548294765351934,4.746173634470084e-05,9.424967898268958e-05,4.860587806986714e-05,0.00012034210865151194,0.0001002623373667571
DG(42:5)_C16:1,2.4782750574854044,7.552641346305105,171.9794897380104,2.734264129138792e-39,1.260495763532983e-36,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,DAG,5.425425740838813e-05,7.398243274520176e-05,0.00028639039445583375,0.0011473089818207522,4.965480226453719e-05,4.841060508205579e-05,6.28875199529847e-05,0.00010395559045043764,4.023248198200857e-05
"DG(44:9),DG(43:2)_C18:1",-2.086987423635474,9.688694209355573,125.91798438394652,3.204573190355222e-29,1.2926447106595375e-26,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,DAG,0.0006254824272530652,0.00013036284315280002,0.0002940790197319498,0.0004729067742054318,0.0004966947597698487,0.00010771887698712252,0.007370942025561093,0.00022813599441893969,2.651814706964183e-05
DG(37:6)_C16:1,2.0711470187481997,6.792930883771315,123.55012646353262,1.0568240707531867e-28,3.789301418133926e-26,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,DAG,3.9267859630112416e-05,5.33033755515918e-05,0.0001485097168815006,0.0006157106822546887,4.106109144835032e-05,3.910834530347054e-05,5.209805094364784e-05,6.325730837309404e-05,3.340931168445381e-05
"DG(38:8),DG(dO-40:8),DG(37:1)_C16:1",1.9510781403640207,6.88439434037104,110.60798354652776,7.210858356120839e-26,2.326943991520195e-23,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,DAG,4.118646229448888e-05,0.0002727957753208338,0.00012611828191300562,0.00041377256903211957,4.075812942760024e-05,2.8367746282702805e-05,5.97402585088479e-05,0.00010114487338218329,2.535999109004788e-05
