lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDM-P,NDM-Q,NDM-R,NDM-S,N2M-P,N2M-Q,N2M-R,N2M-S,Blank1
FA(14:1),-10.51234299023071,13.559898596178629,1592.148779746945,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,1.6968498133985443e-05,1.4687649620520071e-05,1.9508807443711312e-05,1.8955723579696344e-05,0.008491036785253675,0.012412223673980403,0.029775621061954183,0.02984832572293055,0.012910053216024644
FA(14:2),-11.865841671434625,16.54099301950885,1848.59782811626,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,6.594464593727871e-05,4.056683008688861e-05,4.39772087390744e-05,6.478029521154648e-05,0.05751085601504503,0.1020941471243193,0.2477792007491859,0.22330916781374197,0.10344257331284291
FA(14:0),-8.61236640900928,11.887769930042367,1236.9365982127754,5.728572444911743e-271,6.162034426576733e-268,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,1.6979244179967578e-05,1.469442706376124e-05,1.950955295401745e-05,1.8966654151354918e-05,0.005948024844575231,0.005493500962943731,0.00038514220019815845,0.010017679771813493,0.006300746408330687
FA(16:0),6.723675017956214,13.026138078104053,889.0054860306373,2.409418316662487e-195,1.9437982269674607e-192,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,0.004125619913129993,0.002236192787461166,0.008768696370458136,0.0028234394804062474,2.263839891989959e-05,7.027095368789538e-05,1.4390212730484208e-05,1.3348881101570426e-05,0.034730020670695604
FA(17:6),4.033983919529599,10.160761162483627,412.84629327679386,8.801702552488219e-92,5.680618827375896e-89,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,0.0016583227748249716,0.0019182381166217791,0.0021107159174763167,0.0012717955081586877,9.549018908648958e-05,7.979878975237549e-05,6.784429800653623e-05,0.00010625711465143144,0.002296268539721191
DG(28:2)_C18:1,-3.225553512725193,8.697988626404342,283.0093168645324,1.658922664081951e-63,8.922239061654093e-61,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,3.0431932016518047e-05,2.6336387543662966e-05,3.484764835779471e-05,3.4206290885889585e-05,0.000178684253521039,0.00025202570104231883,0.000315147230161035,0.00018206322075619031,0.0015222316877198884
FA(15:6),-3.216310708825913,8.64119271640953,280.260333278344,6.58969174599766e-63,3.037847894904921e-60,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,FA,1.6970126251251514e-05,1.4691885562943512e-05,1.9515145205734893e-05,1.8957545341639442e-05,0.00015301397125141753,0.00019488848014722937,7.111466276499828e-05,9.469667869885657e-05,0.0017208913542772829
DG(42:5)_C16:1,1.9367458866798173,7.494301074763412,113.34674190978772,1.811560130162202e-26,7.307380675041783e-24,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,5.425425740838813e-05,7.398243274520176e-05,0.00028639039445583375,0.0011473089818207522,0.00010790386737312744,3.5225940666787094e-05,7.962527402064143e-05,0.00010193929682209148,4.023248198200857e-05
"DG(37:7),DG(36:0)_C16:1",1.9220260384740004,8.559433631904039,111.91883648405437,3.722413021396773e-26,1.3346918688941546e-23,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,9.823168249207912e-05,0.00016612745374256906,0.0005471972993934557,0.00247719735993086,0.0002089275001084349,7.973212292367428e-05,0.00016815138511404423,0.0002267260541706305,6.722771912498082e-05
"DG(37:7),DG(36:0)_C18:0",1.819700261584683,7.110227874752852,100.73885034732363,1.0494678854642747e-23,3.386632866393214e-21,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,7.963048210412185e-05,0.00010692840522201988,0.00020596242531848035,0.0007524968638176377,8.030808594792368e-05,4.837768166859674e-05,6.961906512837826e-05,5.8490816263593675e-05,3.757409590304901e-05
CAR(10:2)_QUAL,-1.741637582908751,8.982852053341464,92.99854846512405,5.2332707391773055e-22,1.5352513341204694e-19,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,CAR,0.0002749928976596285,0.00026087140742187367,0.00028553888195637317,0.0003611017092726236,0.0003856219946454785,0.00023915757015603224,0.0023895806060455454,0.00024709460690100775,0.00012519603117261627
DG(41:5)_C16:0,1.6588090677239378,9.90887743880224,84.82675835989943,3.256867500477878e-20,8.758259520035094e-18,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,0.0001270791053082706,0.00022475097330558268,0.0012197407380265114,0.0060289406169433376,0.00030559022474130055,0.00023425987849533185,0.0004538780193642983,0.0007990965358425428,0.0004703424964316991
"DG(31:2),DG(P-14:0/18:1)_C18:0",1.6577255494559746,5.959612046464447,84.04065626811597,4.847038075268755e-20,1.2031839899147905e-17,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,3.352768166211121e-05,6.976958343107825e-05,7.64022895000882e-05,0.0003002983761184571,4.205327023635634e-05,3.2740977875812275e-05,2.4890270170673018e-05,2.1329839559990673e-05,2.624682334094197e-05
"DG(36:7),DG(35:0)_C16:0",1.6074180906779152,10.706185777854015,79.91167969575326,3.9152532130091024e-19,9.02465865598598e-17,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,0.00022153024137479518,0.0005463108043144444,0.0019011927093768965,0.01035909138741259,0.0005839879841799993,0.00034440043285558327,0.0008741498251042263,0.0014252146926154402,0.0008270854406532996
DG(36:6)_C16:0,1.498278759729719,8.493845536774325,69.77716245362399,6.639719649950585e-17,1.4284250206927024e-14,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,8.440191533061554e-05,7.992837538732514e-05,0.00043230008555058115,0.0022193517237858616,0.00013859276716773,9.814961814729866e-05,0.00020412871169911217,0.00030718027342681986,0.00014683424738979665
DG(37:6)_C16:1,1.498476322299704,6.763437569749709,69.5678568172194,7.383031410454433e-17,1.4890651475960284e-14,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,3.9267859630112416e-05,5.33033755515918e-05,0.0001485097168815006,0.0006157106822546887,7.971085611791463e-05,3.414959506997606e-05,5.648221117738358e-05,7.034292957591529e-05,3.340931168445381e-05
"DG(40:7),DG(39:0)_C18:0",1.48875500615851,6.30376255713199,68.5846587022069,1.2154599933355236e-16,2.307229057937491e-14,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,3.472664550164544e-05,0.0001426351236829871,9.241965799882478e-05,0.0003215317049244678,8.350477584483203e-05,3.243164377428363e-05,3.2294407452624937e-05,3.3673410005001515e-05,2.4187230967956628e-05
"DG(42:11),DG(41:4)_C16:0",1.4225435674090263,8.03073577771805,63.12399906958533,1.940947772916846e-15,3.47968803511259e-13,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,5.990130631104398e-05,8.041636492818397e-05,0.0003297684910173961,0.001548294765351934,0.00010939429586233815,6.435158888058574e-05,0.0001238439587677088,0.0002705552905162089,0.0001002623373667571
DG(42:4)_C16:1,1.3420017402770232,6.119450576067547,56.11646400555468,6.83027549887632e-14,1.16006837025652e-11,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,3.489108782986638e-05,4.1757713196964404e-05,7.922936576955444e-05,0.0003709229747524,4.333882562890956e-05,3.2982356902914866e-05,4.5687553883065665e-05,3.906064045084785e-05,2.2288777343194724e-05
