lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDF-J,NDF-L,NDF-M,NDF-N,NDM-P,NDM-Q,NDM-R,NDM-S,N4F-J,N4F-L,N4F-M,N4F-N,N4M-P,N4M-Q,N4M-R,N4M-S,Blank1
"DG(44:9),DG(43:2)_C18:1",-1.8593841402606968,8.867875086155028,68.20663819525973,1.4722927507641191e-16,4.751088706715813e-13,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Goingtosleep,DAG,5.754249578795921e-05,5.92793623414361e-05,0.0001898023552303789,0.00012106430021167524,0.0006254824272530652,0.00013036284315280002,0.0002940790197319498,0.0004729067742054318,8.651095362914756e-05,0.00047586149415359354,0.00017842557942890526,5.391762926486679e-05,0.0004966947597698487,0.00010771887698712253,0.007370942025561093,0.00022813599441893969,2.651814706964183e-05
FA(14:2),-1.6955630690173165,14.920474130250188,57.32136152378189,3.701134720743774e-14,5.97178087192008e-11,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Goingtosleep,FA,0.060974212732110754,0.008127495285058546,0.0027377583152811405,0.0035497556974348034,6.594464593727871e-05,4.056683008688861e-05,4.39772087390744e-05,6.478029521154648e-05,0.17845464170020045,0.007659342267195692,0.0021589321172215733,0.0020834755158699253,4.435564974663756e-05,1.3017969320856128e-05,2.317076839616828e-05,6.371557500881447e-05,0.10344257331284291
FA(22:3),-1.4776577949358725,12.792907649907056,44.07990406479803,3.152408163853288e-11,3.3909403815848545e-08,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Goingtosleep,FA,0.005726709239275563,0.0016321526337559642,0.0082572075968721,0.010715114204222661,0.0012938852598878333,0.0006754127323929184,0.0007579880803770813,0.0005333092991613713,0.0012141331349559237,0.041603813358983284,0.026846600608881832,0.001892993442580543,0.0011222893939350394,0.0007159201478517335,0.006745691899836754,0.0008554185268049464,0.0011813512645744513
"DG(37:7),DG(36:0)_C16:1",1.4101370692454347,7.990856260161683,40.26302192763387,2.2197085226757583e-10,1.790749850668668e-07,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Goingtosleep,DAG,0.0002624148548133122,9.925188381433083e-05,5.6767931754191835e-05,6.869202526112984e-05,9.823168249207912e-05,0.00016612745374256906,0.0005471972993934557,0.00247719735993086,0.00041280854035120526,5.177596112706813e-05,6.530198885486797e-05,3.909587159461548e-05,9.364053234154925e-05,9.585058123832617e-05,7.381548599101554e-05,0.0001951002229632787,6.722771912498082e-05
"DG(38:8),DG(dO-40:8),DG(37:1)_C16:1",1.3527795081253418,6.340209627631264,37.11335790712735,1.1145757827667712e-09,7.193472101976743e-07,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Goingtosleep,DAG,5.08931512610362e-05,8.832338174532242e-05,4.897415662708396e-05,4.119660192030743e-05,4.118646229448888e-05,0.0002727957753208338,0.00012611828191300562,0.00041377256903211957,7.126362926938875e-05,2.5707198249473657e-05,3.109933481000502e-05,2.1727049578014254e-05,4.075812942760024e-05,2.8367746282702808e-05,5.97402585088479e-05,0.00010114487338218329,2.535999109004788e-05
"DG(36:7),DG(35:0)_C16:0",1.2989200136322796,10.070710032596969,34.36982919064212,4.557334463971613e-09,2.4510863858727325e-06,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Goingtosleep,DAG,0.0011599181893256851,0.00029015742742762463,0.00019169290711469418,0.00021232374757368746,0.00022153024137479518,0.0005463108043144444,0.0019011927093768965,0.01035909138741259,0.0022388403636916126,0.00014535896358776153,0.00015601531860575434,0.00011264007141801475,0.00015283471866394966,0.00041001234408460024,0.00018083435901118753,0.000620253987023203,0.0008270854406532996
DG(41:5)_C16:0,1.2733073644268935,9.343731674370204,33.06513995238697,8.912235793002402e-09,4.108540700574108e-06,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Goingtosleep,DAG,0.0009296021164319201,0.00015936587174782043,0.00012263292353549522,0.00011256088279711955,0.0001270791053082706,0.00022475097330558268,0.0012197407380265114,0.0060289406169433376,0.0014043641817450961,7.264768579216841e-05,7.851500335367306e-05,8.29068312840002e-05,9.367359909975419e-05,0.0002530031308825816,0.00011651436692933695,0.00035229367793755337,0.0004703424964316991
"DG(40:7),DG(39:0)_C18:0",1.243731447864758,6.024470076376091,31.52281299855565,1.9711084734115452e-08,7.950958804623823e-06,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Goingtosleep,DAG,5.54569330203679e-05,0.0001223196272132799,3.73149883740242e-05,2.987040264477611e-05,3.472664550164544e-05,0.0001426351236829871,9.241965799882478e-05,0.0003215317049244678,6.649610517614505e-05,2.1111103369054342e-05,2.684739312587111e-05,2.2718896704533565e-05,4.065851945177791e-05,3.417928644828502e-05,4.6153766932076606e-05,5.276391878722567e-05,2.4187230967956628e-05
DG(32:3)_C16:1,1.2384357264306616,6.401317997198442,31.28041243691393,2.2332148976827828e-08,8.007316083135932e-06,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Goingtosleep,DAG,6.545637562924603e-05,7.104298519144771e-05,5.307876468114822e-05,3.662198904134034e-05,3.84046184898506e-05,0.0002580166233758788,0.00010677388743776794,0.0004860039777533942,6.694184823251805e-05,2.714119261585895e-05,2.8387065083145553e-05,3.0644315776149986e-05,4.4144444950703e-05,4.3145933308369216e-05,6.701979792688969e-05,0.00011518085904379526,2.4594378174116902e-05
DG(36:6)_C16:0,1.232226773180087,7.87934834858102,31.01237506795516,2.563884972929231e-08,8.273656807642628e-06,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Goingtosleep,DAG,0.0002489886763712507,5.7309175574509124e-05,6.868808228147755e-05,6.526767491823756e-05,8.440191533061554e-05,7.992837538732514e-05,0.00043230008555058115,0.0022193517237858616,0.00046690566865579197,4.737336655420074e-05,4.9650632201278484e-05,3.443530815473088e-05,5.52246776461512e-05,0.00010737727018471106,4.587544029325047e-05,0.00013699168180927128,0.00014683424738979665
