lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDF-J,NDF-L,NDF-M,NDF-N,NDM-P,NDM-Q,NDM-R,NDM-S,N2F-J,N2F-L,N2F-M,N2F-N,N2M-P,N2M-Q,N2M-R,N2M-S,Blank1
FA(14:2),-3.053411103094082,15.765105220969131,181.07123684009275,2.828326909876264e-41,9.127010938170704e-38,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,FA,0.060974212732110754,0.008127495285058546,0.0027377583152811405,0.0035497556974348034,6.594464593727871e-05,4.056683008688861e-05,4.39772087390744e-05,6.478029521154648e-05,0.0053169791261137534,0.019959957490761276,0.00283500644566393,0.004422918015020487,0.05751085601504503,0.1020941471243193,0.2477792007491859,0.22330916781374197,0.10344257331284291
FA(14:1),-2.811149370126629,12.85091367365817,156.6766695455426,6.022854399780488e-36,9.71787557404582e-33,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,FA,0.007910754375527296,0.0016066484896983444,0.0010041591705021663,0.0012307164787375465,1.6968498133985443e-05,1.4687649620520071e-05,1.9508807443711312e-05,1.8955723579696344e-05,0.001521874520793265,0.0033211253735520906,0.0010596661854250663,0.0015684223305660184,0.008491036785253675,0.012412223673980403,0.029775621061954183,0.02984832572293055,0.012910053216024644
"DG(37:7),DG(36:0)_C16:1",1.6577737297059836,7.92682404255166,59.21228805649866,1.4154717378080796e-14,1.5225757659688913e-11,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,DAG,0.0002624148548133122,9.925188381433083e-05,5.6767931754191835e-05,6.869202526112984e-05,9.823168249207912e-05,0.00016612745374256906,0.0005471972993934557,0.00247719735993086,0.00011444238247201565,0.00010339795002121189,5.257428504895673e-05,4.893765379777562e-05,0.0002089275001084349,7.973212292367428e-05,0.00016815138511404423,0.0002267260541706305,6.722771912498082e-05
DG(42:5)_C16:1,1.6262996156268104,6.933091618894648,57.048920737408935,4.2510461557061883e-14,3.429531486115967e-11,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,DAG,0.00014739162636402916,4.9654691969874733e-05,4.6242074836445304e-05,4.959993755181569e-05,5.425425740838813e-05,7.398243274520176e-05,0.00028639039445583375,0.0011473089818207522,6.844273504624686e-05,6.052582048927822e-05,2.996642973063048e-05,2.9787706392892556e-05,0.00010790386737312744,3.5225940666787094e-05,7.962527402064143e-05,0.00010193929682209148,4.023248198200857e-05
DG(41:5)_C16:0,1.4953873985774584,9.284567735904387,48.64910271624356,3.061083256607793e-12,1.975623133814669e-09,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,DAG,0.0009296021164319201,0.00015936587174782043,0.00012263292353549522,0.00011256088279711955,0.0001270791053082706,0.00022475097330558268,0.0012197407380265114,0.0060289406169433376,0.0003733431830401033,0.00021720793285474028,0.00010109076412520712,9.248785251416001e-05,0.00030559022474130055,0.00023425987849533185,0.0004538780193642983,0.0007990965358425428,0.0004703424964316991
"DG(36:7),DG(35:0)_C16:0",1.4327163770640268,10.03404508073574,44.81241316044819,2.1684364506031183e-11,1.1662574043493772e-08,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,DAG,0.0011599181893256851,0.00029015742742762463,0.00019169290711469418,0.00021232374757368746,0.00022153024137479518,0.0005463108043144444,0.0019011927093768965,0.01035909138741259,0.0005509053181044893,0.00041822623659394897,0.00014369222605061747,0.00014464548336269356,0.0005839879841799993,0.00034440043285558327,0.0008741498251042263,0.0014252146926154402,0.0008270854406532996
"DG(37:7),DG(36:0)_C18:0",1.3936580285209073,6.7809178955635465,42.42920910036901,7.328733258733666e-11,3.37854603227622e-08,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,DAG,0.00012644272809932624,0.00016784750691478358,3.6845592888239016e-05,4.922389011103135e-05,7.963048210412185e-05,0.00010692840522201988,0.00020596242531848035,0.0007524968638176377,8.465573794891765e-05,7.423777181201796e-05,4.8170014566563126e-05,4.827857215563253e-05,8.030808594792368e-05,4.837768166859674e-05,6.961906512837826e-05,5.8490816263593675e-05,3.757409590304901e-05
DG(36:6)_C16:0,1.319835046917363,7.853194912487023,38.225603214485744,6.302008467334304e-10,2.5420726655109746e-07,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,DAG,0.0002489886763712507,5.7309175574509124e-05,6.868808228147755e-05,6.526767491823756e-05,8.440191533061554e-05,7.992837538732514e-05,0.00043230008555058115,0.0022193517237858616,0.00014408277933905972,7.025077134065422e-05,4.3515704743899264e-05,5.1260060366405295e-05,0.00013859276716773,9.814961814729866e-05,0.00020412871169911217,0.00030718027342681986,0.00014683424738979665
"DG(42:11),DG(41:4)_C16:0",1.2891793052823184,7.471846424101102,36.51686777235591,1.5135082461849263e-09,5.426767900487509e-07,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,DAG,0.00025532994506469506,6.375341729111991e-05,5.679201469272488e-05,6.030163975539483e-05,5.990130631104398e-05,8.041636492818397e-05,0.0003297684910173961,0.001548294765351934,0.00010479353742547795,8.386563812091307e-05,4.180646595418858e-05,3.587538769376889e-05,0.00010939429586233815,6.435158888058574e-05,0.0001238439587677088,0.0002705552905162089,0.0001002623373667571
CAR(10:2)_QUAL,-1.248192743630078,8.464692544764018,34.31572918295808,4.685793296918831e-09,1.3205737883880329e-06,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,CAR,0.0001637469768721751,0.0001688399445248473,0.0001523648665581034,0.000201318568419468,0.0002749928976596285,0.00026087140742187367,0.00028553888195637317,0.0003611017092726236,0.00022790408754418947,0.00023461875580299178,0.00019740540379443615,0.00019814921410633583,0.0003856219946454785,0.00023915757015603224,0.0023895806060455454,0.00024709460690100775,0.00012519603117261627
