lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N4F-J,N4F-L,N4F-M,N4F-N,N2F-J,N2F-L,N2F-M,N2F-N,Blank1
FA(14:2),3.162778690473624,15.48435273909022,391.1278607389539,4.702637591957037e-87,1.517541150924536e-83,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.17845464170020045,0.007659342267195692,0.0021589321172215733,0.0020834755158699253,0.0053169791261137534,0.019959957490761276,0.00283500644566393,0.004422918015020487,0.10344257331284291
FA(10:3),2.0328156429646067,14.87312512012368,176.79745964246104,2.4249279207415793e-40,3.912621200116538e-37,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.10435029326396077,0.006236131477411666,0.0036972931736631433,0.002772143010839418,0.0070323134599945035,0.027565870907921678,0.003811817990329025,0.005137728099393675,0.06287464934246877
FA(22:3),1.8000341984255164,13.323217514774337,140.76877943954406,1.807601205861043e-32,1.9443763637711957e-29,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0012141331349559237,0.041603813358983284,0.026846600608881832,0.001892993442580543,0.006345436017700523,0.002411547321207587,0.011755167941131385,0.0025963845412450203,0.001181351264574451
FA(15:1),1.774336692553577,13.303692846758825,136.99609899049392,1.2082221426732954e-31,9.74733213601681e-29,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.03490069439192416,0.004266101701219452,0.0019002776453214997,0.0020028158691707313,0.0034478326636252234,0.009177903267164545,0.002319572086523379,0.0035180600450069916,0.016324810947497805
"DG(44:9),DG(43:2)_C18:1",1.7349202073379095,6.942433497140311,130.6458019439417,2.9597431013572552e-30,1.9102181976159723e-27,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,8.651095362914756e-05,0.00047586149415359354,0.00017842557942890526,5.391762926486679e-05,7.728078139225806e-05,6.21325454221614e-05,9.670008447809157e-05,5.18294866908744e-05,2.6518147069641827e-05
"DG(36:7),DG(35:0)_C16:0",1.64515664060094,9.240308032406707,118.56133988225878,1.3065073053393896e-27,7.0268317905503505e-25,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.0022388403636916126,0.00014535896358776153,0.00015601531860575434,0.00011264007141801475,0.0005509053181044893,0.00041822623659394897,0.00014369222605061747,0.00014464548336269356,0.0008270854406532995
DG(41:5)_C16:0,1.6304856045980158,8.527425517383143,116.46820850074069,3.753480858507498e-27,1.7303546757719564e-24,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.0014043641817450961,7.264768579216841e-05,7.851500335367306e-05,8.29068312840002e-05,0.0003733431830401033,0.00021720793285474028,0.00010109076412520712,9.248785251416001e-05,0.00047034249643169903
DG(36:6)_C16:0,1.4777375997971611,7.0412794646005725,96.1765853789584,1.0508032244319869e-22,4.238677506552527e-20,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.00046690566865579197,4.737336655420074e-05,4.9650632201278484e-05,3.443530815473088e-05,0.00014408277933905972,7.025077134065422e-05,4.3515704743899264e-05,5.1260060366405295e-05,0.00014683424738979665
"DG(42:11),DG(41:4)_C16:0",1.464779219034604,6.755204363196889,94.47664019357784,2.4800187865088253e-22,8.892245137848865e-20,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.0003914094766013333,4.2768414480404094e-05,4.5824187931630185e-05,2.934463992014187e-05,0.00010479353742547795,8.386563812091307e-05,4.180646595418858e-05,3.587538769376889e-05,0.00010026233736675709
FA(30:1),1.4558118421839503,12.778255633102322,93.94305771017392,3.2473267226394543e-22,1.0479123333957518e-19,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.004438405907038408,0.020717722438419763,0.017713953763170403,0.0029729014644298978,0.00486252374759111,0.00199382863301369,0.010151846044866632,0.002080781111438112,0.00041175299354304773
FA(14:1),1.401915115391954,12.170782256517834,87.35018785903048,9.09115010902089e-21,2.6670128547100382e-18,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.010066697936979447,0.001400520521225255,0.001415945689418618,0.000970776129669366,0.001521874520793265,0.0033211253735520906,0.0010596661854250663,0.0015684223305660184,0.012910053216024642
DG(42:5)_C16:1,1.349130277933491,6.089387060031576,80.39849771090238,3.0602778077904365e-19,8.229597071449781e-17,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.00023216354748302928,3.8480285401073215e-05,4.2564338542951635e-05,2.7268372970079707e-05,6.844273504624686e-05,6.052582048927822e-05,2.996642973063048e-05,2.9787706392892556e-05,4.023248198200857e-05
"DG(37:7),DG(36:0)_C16:1",1.3424610762791789,6.8420211912254985,79.92661808546384,3.8857637557056553e-19,9.645661261278576e-17,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.00041280854035120526,5.177596112706813e-05,6.530198885486797e-05,3.909587159461548e-05,0.00011444238247201565,0.00010339795002121189,5.257428504895673e-05,4.893765379777562e-05,6.722771912498082e-05
FA(10:2),1.336916805980226,11.560015298900405,79.69730503355049,4.363954904400208e-19,1.0058916054642481e-16,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0084662806425962,0.0015420914140360413,0.0008440111486703569,0.0008113296251951537,0.0014172589412283602,0.0031399920916808325,0.0010007052934402569,0.0010994971401192372,0.005367241175351145
