lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N4M-P,N4M-Q,N4M-R,N4M-S,N4F-J,N4F-L,N4F-M,N4F-N,Blank1
FA(14:0),-9.890414641347574,12.75707920180939,1534.432567074256,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,2.159959342489611e-05,1.3013224785902806e-05,2.315656331002621e-05,1.6584930132607836e-05,0.006059654777506638,0.006198518338173312,0.013275060372604841,0.01894467693097924,0.006300746408330686
FA(14:2),-11.216011838319364,15.524698152192132,1794.8153944735968,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,4.435564974663756e-05,1.3017969320856128e-05,2.3170768396168285e-05,6.371557500881447e-05,0.17845464170020045,0.007659342267195691,0.0021589321172215733,0.0020834755158699253,0.10344257331284291
FA(15:1),-10.018897644932666,13.176415655466068,1559.4328645710382,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,2.1604139476432172e-05,1.301122709449542e-05,2.316366581076351e-05,1.658173000218682e-05,0.03490069439192416,0.004266101701219451,0.0019002776453214997,0.0020028158691707313,0.016324810947497805
FA(16:3),-12.886731224909491,16.056907481092185,2118.130939689597,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,2.1607446412405443e-05,1.3020466494651267e-05,2.3178314469823466e-05,1.65945307680252e-05,0.07407319365883258,0.09186172422212768,0.10862848251613232,0.0835880457460945,0.12255984210539508
FA(15:0) | FA(16:7),-9.28965213155829,12.489614042005456,1417.608974553025,3.13313020479044e-310,2.0221222341717477e-307,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,2.160372630652095e-05,1.3018468660357716e-05,2.3153900094501855e-05,1.658589014731871e-05,0.01662865476633346,0.0025541898248964265,0.003655031398242203,0.004110213580196977,0.010762694628226346
FA(15:0) | FA(16:7)_2,-9.200055735358672,12.49978576434887,1400.198179610365,1.902673216117263e-306,1.0233210780684013e-303,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,2.1593393195865842e-05,1.301072775499383e-05,2.316810484197402e-05,1.6592290652315055e-05,0.016294453846401446,0.0027690766525688584,0.003803131743953801,0.0025406568860053126,0.012273218136278706
FA(16:2),-8.481867241008363,12.25312400919055,1260.7991156091073,3.734427097081667e-276,1.7215708917546486e-273,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,2.1595460070266222e-05,1.3019218050639858e-05,2.3187192786246914e-05,1.6615012017782046e-05,0.011779012694582196,0.0011530790405894136,0.0009698718118923094,0.0010193797036597266,0.015035396679523364
FA(14:1),-8.352578542925274,12.074263626623658,1235.7377415755636,1.043722499720773e-270,4.210115633248669e-268,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,2.1599179703145666e-05,1.3010228272606081e-05,2.3166329364957774e-05,1.6591330454488454e-05,0.010066697936979447,0.0014005205212252547,0.001415945689418618,0.000970776129669366,0.012910053216024642
FA(16:6),-7.999103640010063,11.54478532502973,1167.305318296503,7.777631414032403e-256,2.788712952564729e-253,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,2.1602072996202664e-05,1.3012475633764265e-05,2.3163665895430988e-05,1.6596450797446953e-05,0.0028519025488880382,0.0030081594143639015,0.0032902451528109148,0.002812398626061266,0.007932185064304103
FA(16:1),-7.120510340811992,10.7275787027186,998.366654461129,4.0672103359755456e-219,1.3124887754193084e-216,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,FA,2.4779662821672373e-05,1.737718621388925e-05,2.3206724218770218e-05,1.6658214388851583e-05,0.0024328270072177423,0.0014904592603707495,0.0012311952591134683,0.0018602791832727271,0.004111807033596037
