lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N4M-P_x,N4M-Q_x,N4M-R_x,N4M-S_x,N4M-P_y,N4M-Q_y,N4M-R_y,N4M-S_y,Blank1
[TG(37:0)]_FA14:0,0,3.9828375005226127,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.96660906029599e-05,1.2327266909484822e-05,2.1099968083541464e-05,1.577016434126164e-05,1.96660906029599e-05,1.2327266909484822e-05,2.1099968083541464e-05,1.577016434126164e-05,9.20828716209725e-06
[TG(37:0)]_FA16:0,0,4.407167980723012,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.385755011920749e-05,2.5470841405028057e-05,2.2785017862454225e-05,1.9208117226516786e-05,2.385755011920749e-05,2.5470841405028057e-05,2.2785017862454225e-05,1.9208117226516786e-05,8.874650165951447e-06
[TG(37:0)]_FA18:0,0,7.823717100027798,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,0.0005487823480961017,0.000388923941097979,7.404010042839528e-05,3.418879758805207e-05,0.0005487823480961017,0.000388923941097979,7.404010042839528e-05,3.418879758805207e-05,1.0593952214393184e-05
[TG(38:0)]_FA14:0,0,4.600421171652016,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,3.1667196333470966e-05,1.6124132742577584e-05,3.408985620244315e-05,1.8438794227143158e-05,3.1667196333470966e-05,1.6124132742577584e-05,3.408985620244315e-05,1.8438794227143158e-05,2.1262713114949643e-05
[TG(38:0)]_FA16:0,0,4.55497697996087,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.2751924149624186e-05,3.0411137066004496e-05,2.876259515844286e-05,1.7979568309174743e-05,2.2751924149624186e-05,3.0411137066004496e-05,2.876259515844286e-05,1.7979568309174743e-05,1.0681742969266337e-05
[TG(38:0)]_FA18:0,0,4.674821497748266,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.6501959743995573e-05,1.6307671063336442e-05,2.4025278475157828e-05,4.5011163913907614e-05,2.6501959743995573e-05,1.6307671063336442e-05,2.4025278475157828e-05,4.5011163913907614e-05,1.1317211352848087e-05
[TG(38:1)]_FA14:0,0,4.216474147292962,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.2127813458120355e-05,1.3299144707940146e-05,2.7700338689737564e-05,1.794948648503911e-05,2.2127813458120355e-05,1.3299144707940146e-05,2.7700338689737564e-05,1.794948648503911e-05,1.1667887165221652e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0,5.10090059580123,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,DAG,4.16116312497056e-05,2.899252497288769e-05,4.944618348605201e-05,3.286168278596217e-05,4.16116312497056e-05,2.899252497288769e-05,4.944618348605201e-05,3.286168278596217e-05,1.6807619008621288e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0,5.10090059580123,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.4861499869241487e-05,1.9226301067256583e-05,2.6664273004712374e-05,1.5589034261526822e-05,2.4861499869241487e-05,1.9226301067256583e-05,2.6664273004712374e-05,1.5589034261526822e-05,9.293968388452163e-06
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0,5.076624128135824,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,DAG,4.3372779624327536e-05,2.5016365871601644e-05,4.36026643568818e-05,3.788884492697279e-05,4.3372779624327536e-05,2.5016365871601644e-05,4.36026643568818e-05,3.788884492697279e-05,1.713557653348088e-05
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0,5.076624128135824,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.3729008158825262e-05,1.4613876800243947e-05,2.2975007619323086e-05,1.9541256003831694e-05,2.3729008158825262e-05,1.4613876800243947e-05,2.2975007619323086e-05,1.9541256003831694e-05,9.155872392022528e-06
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",0,4.8629887350159615,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,DAG,3.604010271544165e-05,2.3579524838438815e-05,3.822701805048871e-05,3.1615532846111636e-05,3.604010271544165e-05,2.3579524838438815e-05,3.822701805048871e-05,3.1615532846111636e-05,1.384464231136106e-05
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",0,4.8629887350159615,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.012280740877772e-05,1.2308039052292021e-05,2.1159450712291845e-05,1.8229822255867115e-05,2.012280740877772e-05,1.2308039052292021e-05,2.1159450712291845e-05,1.8229822255867115e-05,7.791465243942308e-06
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0,5.134207826601225,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,DAG,4.2598634963148034e-05,3.0362443558232195e-05,4.78623431784679e-05,3.368380897493844e-05,4.2598634963148034e-05,3.0362443558232195e-05,4.78623431784679e-05,3.368380897493844e-05,1.8255435421213696e-05
