lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N4F-J,N4F-L,N4F-M,N4F-N,N4M-P,N4M-Q,N4M-R,N4M-S,N2F-J,N2F-L,N2F-M,N2F-N,N2M-P,N2M-Q,N2M-R,N2M-S,Blank1
"DG(44:9),DG(43:2)_C18:1",2.440924953512687,8.732343511728017,122.1232051398697,2.169390488386482e-28,7.0006231060231765e-25,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,DAG,8.651095362914756e-05,0.00047586149415359354,0.00017842557942890526,5.391762926486679e-05,0.0004966947597698487,0.00010771887698712253,0.007370942025561093,0.00022813599441893969,7.728078139225806e-05,6.21325454221614e-05,9.670008447809157e-05,5.18294866908744e-05,0.0007510595304259875,0.00012557896725941161,5.1119055039533765e-05,8.868438285802289e-05,2.651814706964183e-05
FA(14:1),-2.2718864628717723,12.891184730490377,107.2088620978884,4.006411671464866e-25,6.464345231908562e-22,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.010066697936979447,0.001400520521225255,0.001415945689418618,0.000970776129669366,2.1599179703145666e-05,1.3010228272606081e-05,2.316632936495777e-05,1.6591330454488454e-05,0.001521874520793265,0.0033211253735520906,0.0010596661854250663,0.0015684223305660184,0.008491036785253675,0.012412223673980403,0.029775621061954183,0.02984832572293055,0.012910053216024644
FA(22:3),1.802164889061808,12.687879823171974,69.67862153404712,6.979853033610241e-17,7.507995246486753e-14,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.0012141331349559237,0.041603813358983284,0.026846600608881832,0.001892993442580543,0.0011222893939350394,0.0007159201478517335,0.006745691899836754,0.0008554185268049464,0.006345436017700523,0.002411547321207587,0.011755167941131385,0.0025963845412450203,0.0003367527480856888,0.0007016524971819077,0.00018595885319078802,0.00046863783856755897,0.0011813512645744513
FA(15:1),1.772072342627708,12.560965774753203,67.49757776296065,2.109460930274498e-16,1.7018076054989512e-13,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.03490069439192416,0.004266101701219452,0.0019002776453214997,0.0020028158691707313,2.1604139476432172e-05,1.301122709449542e-05,2.3163665810763505e-05,1.658173000218682e-05,0.0034478326636252234,0.009177903267164545,0.002319572086523379,0.0035180600450069916,1.9790974974907495e-05,1.1188337087961223e-05,1.4382496442194449e-05,1.3340900365696607e-05,0.016324810947497808
FA(30:1),1.4470593860372674,12.05829398004189,45.86245941320158,1.2685374239527104e-11,8.187140534190792e-09,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.004438405907038408,0.020717722438419763,0.017713953763170403,0.0029729014644298978,8.25689796829404e-05,5.3135898985029056e-05,0.001002167483819578,8.308690010757484e-05,0.00486252374759111,0.00199382863301369,0.010151846044866632,0.002080781111438112,0.00031056650756086147,5.879922200296938e-05,5.217785338049511e-05,6.342623536634685e-05,0.0004117529935430478
FA(14:2),-1.3563340607179468,15.998559660264696,40.48265337259181,1.9836938225960187e-10,1.066896660919559e-07,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.17845464170020045,0.007659342267195692,0.0021589321172215733,0.0020834755158699253,4.435564974663756e-05,1.3017969320856128e-05,2.317076839616828e-05,6.371557500881447e-05,0.0053169791261137534,0.019959957490761276,0.00283500644566393,0.004422918015020487,0.05751085601504503,0.1020941471243193,0.2477792007491859,0.22330916781374197,0.10344257331284291
FA(22:2),1.2412290630626872,11.289352715962131,34.09036616773483,5.261109535187706e-09,2.4253714957215325e-06,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.0007430498888326215,0.01351932744054075,0.00921421714790833,0.0010071845578751941,0.00020135413576734528,0.0005672972404154727,0.0005657945761734854,0.0006887739790303721,0.0031197826914989898,0.0016385250773503822,0.004782659926025166,0.0015475176127017062,0.0002458226739900229,0.0004989665678625199,0.00015247006046029997,0.0004343236640539826,0.0008428439539508924
FA(15:0) | FA(16:7),1.0763414354782994,12.00610548140416,25.820861725234863,3.74617472099846e-07,0.0001511113228082754,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.01662865476633346,0.002554189824896427,0.003655031398242203,0.004110213580196977,2.160372630652095e-05,1.3018468660357716e-05,2.3153900094501852e-05,1.658589014731871e-05,0.003956999280893797,0.0068301367590986786,0.003964396303690646,0.003003563030824488,1.9793242986663564e-05,1.1191552652654275e-05,1.4389110366040218e-05,1.3338840881145942e-05,0.010762694628226347
CAR(10:2)_QUAL,-1.0577220812306083,8.496014156940282,24.9441783926477,5.901446134598166e-07,0.00021159962973720312,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,CAR,0.000145356953926745,0.0001914023545052383,0.0002001446830994552,0.00022189870710132977,0.0002960180428361532,0.00033952797700349943,0.0002877355934285735,0.000323853362434876,0.00022790408754418947,0.00023461875580299178,0.00019740540379443615,0.00019814921410633583,0.0003856219946454785,0.00023915757015603224,0.0023895806060455454,0.00024709460690100775,0.00012519603117261627
FA(15:0) | FA(16:7)_2,1.0333014154860956,12.002910373998803,23.838347914104816,1.04774183719816e-06,0.0003381062908638462,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.016294453846401446,0.002769076652568859,0.003803131743953801,0.0025406568860053126,2.1593393195865842e-05,1.301072775499383e-05,2.3168104841974016e-05,1.6592290652315055e-05,0.003998994541034769,0.007123812946392601,0.0028912484976351804,0.003289298244128887,1.9793242914567064e-05,1.119562563039363e-05,1.4381945207408826e-05,1.3337038746233587e-05,0.012273218136278708
FA(16:2),0.9640117816378134,11.672687635804202,20.80296955687845,5.090397419833352e-06,0.0014933374976183,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.011779012694582196,0.0011530790405894138,0.0009698718118923094,0.0010193797036597266,2.1595460070266222e-05,1.3019218050639858e-05,2.318719278624691e-05,1.6615012017782046e-05,0.001827243928305548,0.007098582504431661,0.0008882976410033184,0.0015771905299393342,1.9801180595230802e-05,1.1196054377804386e-05,1.4388008001596234e-05,1.3343732193781138e-05,0.015035396679523368
FA(30:2),0.9069331254034516,11.954342941512664,18.451230603270236,1.7430823675822417e-05,0.0046874390001565,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.0046087282719068385,0.015805445157759574,0.013484305022915246,0.003003879706089832,0.0005929941634714204,0.00010998576025273191,0.000528780301043303,0.00031537319846996966,0.004943387834175723,0.0027302705145119304,0.008985554543046436,0.005920630822956464,0.00037993583452816356,0.00011040144033146564,0.00018244679492285465,7.540861429275472e-05,0.000710629048150088
FA(36:5),0.8919978568242612,10.58222320619517,17.85667198993542,2.381826972249233e-05,0.0059124274149602,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.0016233485271445881,0.0022461674400365748,0.003660077469231027,0.005619680970180287,0.00012549041623298958,0.00023290084344297426,0.00021455222703981554,0.00024227470861301303,0.0031038385490431814,0.0010524114565447918,0.0024263006649356705,0.0016463054790303352,0.00042304181700622263,0.0001756265827625145,0.0002281486793334376,0.00018833476245189328,0.00039936883112948884
FA(16:0),0.8845642007847241,15.427102783579102,17.566511416547655,2.7743126848073832e-05,0.0059684713559156,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.03466084907551176,0.054411074707855236,0.055680655567069456,0.13945099749500156,0.03380717612223059,0.01438045877310414,0.030495275440489463,0.05071334324410139,0.06953197249226895,0.05581063311911761,0.04920582912779791,0.07723377599642957,2.263839891989959e-05,7.027095368789538e-05,1.4390212730484208e-05,1.3348881101570426e-05,0.034730020670695604
FA(17:6),0.886516912028844,10.891800174962858,17.641425079002147,2.66715059095424e-05,0.0059684713559156,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.0014778793455794252,0.001816033187884382,0.002016436223370253,0.003230798432983361,0.0025847462485955285,0.002378885076569356,0.002350158163405459,0.00283424792291099,0.002237110496278384,0.002320239278697834,0.0026382677451433877,0.002762330634082043,9.549018908648958e-05,7.979878975237549e-05,6.784429800653623e-05,0.00010625711465143144,0.002296268539721191
CAR(22:5)_QUAL,0.8145926469988835,13.482291998198049,14.931565809798483,0.0001114819886109114,0.0217751250872928,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,CAR,0.0002709983163024118,0.0008980338193058726,0.0005372672531367555,0.0001813198481174571,0.02557120682288713,0.0115923202070353,0.09403729555341059,0.04134945503982502,0.0002643120120447182,0.0002043975201096984,0.000379267383553053,0.00018495208716953095,0.05034872554446876,0.010259562329208452,0.009799340374529742,0.010319900682064018,0.00010623973124092007
FA(24:12),0.8131160381695213,11.71223478279941,14.877676901371151,0.00011471246559776208,0.0217751250872928,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.0025773073163524503,0.008830058019231963,0.005660730428531823,0.0016036257307081166,0.003258963585877518,0.004307530253222189,0.007238914118827417,0.0027445139640798473,0.0027266226895428887,0.0012844207874493814,0.003668878905963161,0.0015737300102543405,0.004361892193233011,0.0041475852958964355,0.0008691785451237793,0.0016918864915027377,0.0011381970208132503
DG(33:5)_C18:1,0.7947144867628886,8.18973002102102,14.212963671067712,0.00016324202394264078,0.0277253690138369,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,DAG,0.00011555745913881982,0.00017782846764126154,0.00022546838665854006,0.0012729438891647513,0.0002620168406082626,0.00018942279278312996,0.00026200440056786906,0.00023768788845868858,0.0002548219775163931,0.00025213540400107127,0.0001950217012412125,0.0002447891011501984,0.0002838442666021749,0.00017499097797365473,0.00019822540980923446,0.00019181846689269073,0.00014749616810836433
PS(O-29:0),-0.7968137160694724,8.039615220054895,14.286680436451777,0.00015697169290557534,0.0277253690138369,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,PS,0.00020515436341179996,8.14451536842224e-05,0.00015575406937077144,0.00030526209347001915,0.00028386773270799013,0.00020241354614837205,0.0001150241884954117,0.00024193356316163376,0.0006296446929783548,0.00043754034459267903,0.00026486225379362147,0.00036400925840927444,0.0002213733066150116,0.00013001211175476133,0.0006432499882526818,0.00023866054927103338,3.3157460548119485e-05
[TG(37:0)]_FA18:0,0.7907009094069785,6.866426875951519,14.060674153548575,0.0001770063305187595,0.0285599714292018,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,TAG,5.638842288552743e-05,5.039647488528493e-05,0.00011903232956795967,0.00010551566060021454,0.0005487823480961017,0.000388923941097979,7.404010042839528e-05,3.418879758805207e-05,2.9188787160455306e-05,2.8093503132184424e-05,0.00016270798773147053,7.35873172416512e-05,1.7994750687008738e-05,0.0003036849454750273,1.3892506274950013e-05,1.3129025748991392e-05,1.0593952214393184e-05
FA(29:3),0.7649105891637881,13.150571552779704,13.185854734947496,0.00028207013341684066,0.0433447771683878,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.012693600570114648,0.012593352613794902,0.020986394179386633,0.032065500707146484,0.000799021695322924,0.00022279625958478128,0.00013742212561340312,0.0007168837102811457,0.012836575123162716,0.00582602455449106,0.015045780020676183,0.022028427665985548,0.000825566182457481,0.00023783576409064534,0.00027155080790818286,0.00021237289480634624,0.000809904275851627
PC(38:5),0.754493179183196,5.758750887526908,12.796681699432298,0.0003472347045357036,0.0509330177971234,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,PC,9.383231596227778e-05,0.000124250586638589,5.715443297241672e-05,6.442978611929516e-05,4.297806085176698e-05,5.404984416132855e-05,6.152696150134216e-05,2.773115517495792e-05,5.595923182647255e-05,6.989209129620268e-05,5.6276652712143714e-05,5.7957297346758036e-05,3.856628182803157e-05,2.773868137369944e-05,2.2145996385523475e-05,2.0039797725173576e-05,1.1682491926748393e-05
PC(40:6),0.7458574315046679,5.30511311093169,12.49536272711594,0.0004079634130993266,0.0572390406118055,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,PC,6.308464313023455e-05,6.301557842158586e-05,5.832510099904802e-05,6.91790561965295e-05,3.7133742421719905e-05,1.8948372196621124e-05,6.510924707276629e-05,1.9701585113752727e-05,3.277113993715797e-05,5.576277023008951e-05,5.38490980805139e-05,3.7015764702167335e-05,2.773261517853014e-05,1.7933237330346005e-05,1.5725696820032678e-05,1.4248383296457597e-05,9.151166406430252e-06
FA(12:0),0.6935385096626615,11.646752370878712,10.861708192929656,0.0009817309850599623,0.1243650336565442,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,FA,0.0009306669573155606,0.0012193071383447011,0.0018152705222254546,0.0008715478503182094,0.008277892385734923,0.004120193557276099,0.02263860052781974,0.0033304956138015024,0.0018215827189580686,0.0019754713623012948,0.001480672111816268,0.0025069752706994228,0.0028112857429968357,0.003623604261014506,0.003102155295110102,0.0026314732409643514,0.0014711478953155646
PC(38:4),0.6928894036188874,6.506251464369653,10.82384572954902,0.0010020114270437,0.1243650336565442,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,PC,0.0001575474292690275,0.000206406834977418,0.00010482198298517517,0.0001328182120602086,6.1011957973895864e-05,6.547864894358837e-05,0.00010368028974573303,2.8916181757019184e-05,9.741888035265716e-05,0.00012358394138968642,0.00011418432799141174,0.00011139778778534616,7.878893067963628e-05,3.881340301461739e-05,1.5620423328431638e-05,2.8705037234414632e-05,1.5642323267297283e-05
PC(40:5),0.6944709213535003,5.379109298984322,10.851075771734372,0.0009873837969493135,0.1243650336565442,8,8,SampleType_Neuron|SleepCondition_Goingtosleep,SampleType_Neuron|SleepCondition_Wakingup,PC,6.359526015408498e-05,8.631651045263847e-05,5.506828291470693e-05,6.852820116012845e-05,2.691693077961338e-05,3.293097736904052e-05,3.520848800345172e-05,2.3563881530977664e-05,3.9978613779301665e-05,4.7041438660323146e-05,4.464357096555463e-05,5.5445675173085425e-05,4.00268479461645e-05,1.3804279637002468e-05,1.6532884839435284e-05,2.0482340454828793e-05,8.046886013529883e-06
