lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N2M-P,N2M-Q,N2M-R,N2M-S,N2F-J,N2F-L,N2F-M,N2F-N,Blank1
FA(15:0) | FA(16:7),-8.209103771621118,11.865854362858848,1780.9961115201677,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,1.979324298666356e-05,1.1191552652654275e-05,1.4389110366040214e-05,1.3338840881145942e-05,0.003956999280893797,0.006830136759098678,0.003964396303690646,0.003003563030824488,0.010762694628226347
FA(15:0) | FA(16:7)_2,-8.162631482691765,11.945860545139364,1767.706480998929,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,1.979324291456706e-05,1.119562563039363e-05,1.4381945207408823e-05,1.3337038746233587e-05,0.003998994541034769,0.0071238129463926,0.0028912484976351804,0.003289298244128887,0.012273218136278708
FA(15:1),-8.242035100323355,12.219178442766037,1790.41305405385,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,1.979097497490749e-05,1.1188337087961223e-05,1.4382496442194445e-05,1.3340900365696607e-05,0.0034478326636252234,0.009177903267164545,0.002319572086523379,0.0035180600450069916,0.016324810947497808
FA(16:0),-10.83644107900367,14.98466981550783,2541.012372869392,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,2.263839891989959e-05,7.027095368789538e-05,1.4390212730484205e-05,1.3348881101570426e-05,0.06953197249226895,0.0558106331191176,0.04920582912779791,0.07723377599642957,0.034730020670695604
FA(16:2),-7.512981616559693,11.894360860186564,1582.3141027624356,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,1.98011805952308e-05,1.1196054377804386e-05,1.438800800159623e-05,1.3343732193781138e-05,0.001827243928305548,0.0070985825044316605,0.0008882976410033184,0.0015771905299393342,0.015035396679523368
FA(16:3),-12.92443318903134,16.079553841771563,3136.2094045473477,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,1.9790974758617984e-05,1.11894088747129e-05,1.4390212625356948e-05,1.3337553592819677e-05,0.11946326975733429,0.12806047046108557,0.10480049100842147,0.10685857130978291,0.1225598421053951
FA(16:5),-7.296069683461336,10.26481608364696,1520.603724328212,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,1.9788328961192075e-05,1.1198626821381308e-05,1.4392141815697552e-05,1.3341157813541228e-05,0.0027325081865014903,0.0018122243470455178,0.0011645816687750634,0.0034708421591452517,0.0014937258663745131
FA(16:6),-8.009141103904252,11.547074066366672,1723.8343075596613,0.0,0.0,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,1.9790597117141148e-05,1.1188980249964957e-05,1.4376984672538139e-05,1.3332662378390791e-05,0.003852185722545863,0.004171925020533687,0.003129524272459529,0.004026191693967518,0.007932185064304105
FA(16:1),-6.993434143971009,10.567240893292286,1434.7150387967897,6.00956215e-314,2.1547618954267e-311,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,1.9808740778610708e-05,1.1193910640750613e-05,1.4384149831169537e-05,1.3338068439405764e-05,0.001476396480718669,0.002312840299728795,0.0014799217044206045,0.002223006444949117,0.004111807033596037
FA(16:4),-6.600115137257433,9.747921299113887,1323.5377215054891,8.673210070650125e-290,2.798844889798796e-287,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,1.9805716690839445e-05,1.1187265260321939e-05,1.4387181333390497e-05,1.3335751507010474e-05,0.001182453939599739,0.0015092484016424616,0.0012576363092822087,0.0017172432545673139,0.0014710601100081505
