lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N2M-P_x,N2M-Q_x,N2M-R_x,N2M-S_x,N2M-P_y,N2M-Q_y,N2M-R_y,N2M-S_y,Blank1
[TG(37:0)]_FA14:0,0,3.756576267444,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.8021588249350227e-05,1.1638940353875546e-05,1.3107916411267362e-05,1.439692731468677e-05,1.8021588249350227e-05,1.1638940353875546e-05,1.3107916411267362e-05,1.439692731468677e-05,9.20828716209725e-06
[TG(37:0)]_FA16:0,0,4.393512317585667,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.825103017562812e-05,1.7145646204673026e-05,1.530102058969461e-05,3.930212206071615e-05,1.825103017562812e-05,1.7145646204673026e-05,1.530102058969461e-05,3.930212206071615e-05,8.874650165951447e-06
[TG(37:0)]_FA18:0,0,6.524030859922838,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.7994750687008738e-05,0.0003036849454750273,1.3892506274950013e-05,1.3129025748991392e-05,1.7994750687008738e-05,0.0003036849454750273,1.3892506274950013e-05,1.3129025748991392e-05,1.0593952214393184e-05
[TG(38:0)]_FA14:0,0,4.52247235716718,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.4761209330539894e-05,1.214935257518679e-05,2.1882261579426148e-05,3.3679073366551645e-05,2.4761209330539894e-05,1.214935257518679e-05,2.1882261579426148e-05,3.3679073366551645e-05,2.1262713114949643e-05
[TG(38:0)]_FA16:0,0,4.0043153728756815,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.4639873297064155e-05,1.2588808531084314e-05,1.5126024176483925e-05,1.6986278664798952e-05,2.4639873297064155e-05,1.2588808531084314e-05,1.5126024176483925e-05,1.6986278664798952e-05,1.0681742969266337e-05
[TG(38:0)]_FA18:0,0,4.234378186145089,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.2628948870915964e-05,2.3292243459798145e-05,1.7086810252140283e-05,1.558116024590306e-05,2.2628948870915964e-05,2.3292243459798145e-05,1.7086810252140283e-05,1.558116024590306e-05,1.1317211352848087e-05
[TG(38:1)]_FA14:0,0,3.908970369182214,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.4391153991824684e-05,1.0265908090839076e-05,1.3237165698761555e-05,1.63503970231166e-05,2.4391153991824684e-05,1.0265908090839076e-05,1.3237165698761555e-05,1.63503970231166e-05,1.1667887165221652e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0,4.85963338678291,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,3.700327948600416e-05,2.7148738552073446e-05,3.1403166404604415e-05,2.896093440138394e-05,3.700327948600416e-05,2.7148738552073446e-05,3.1403166404604415e-05,2.896093440138394e-05,1.6807619008621288e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0,4.85963338678291,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.0887155711618883e-05,1.3100721368333198e-05,1.867390313890223e-05,1.579277795489836e-05,2.0887155711618883e-05,1.3100721368333198e-05,1.867390313890223e-05,1.579277795489836e-05,9.293968388452163e-06
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0,4.860393435123191,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,3.719719009326163e-05,2.2490289745628528e-05,2.912821340081092e-05,3.634128103270035e-05,3.719719009326163e-05,2.2490289745628528e-05,2.912821340081092e-05,3.634128103270035e-05,1.713557653348088e-05
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0,4.860393435123191,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.9807228482387322e-05,1.1090799259945199e-05,1.5141732501865327e-05,1.5801015745791556e-05,1.9807228482387322e-05,1.1090799259945199e-05,1.5141732501865327e-05,1.5801015745791556e-05,9.155872392022528e-06
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",0,4.466491316433391,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,3.215513709566968e-05,1.8292948271335794e-05,2.3350301944673513e-05,2.186248687472475e-05,3.215513709566968e-05,1.8292948271335794e-05,2.3350301944673513e-05,2.186248687472475e-05,1.384464231136106e-05
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",0,4.466491316433391,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.8443806704911052e-05,1.1949132072888504e-05,1.4028094263124392e-05,1.2430842956489397e-05,1.8443806704911052e-05,1.1949132072888504e-05,1.4028094263124392e-05,1.2430842956489397e-05,7.791465243942308e-06
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0,4.893527868899183,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,DAG,4.739620616070888e-05,2.1814813655499196e-05,3.19284307622748e-05,2.970236740061618e-05,4.739620616070888e-05,2.1814813655499196e-05,3.19284307622748e-05,2.970236740061618e-05,1.8255435421213696e-05
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0,4.893527868899183,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.1349819511671616e-05,1.5204536992633408e-05,1.955853036820424e-05,1.3814336198365442e-05,2.1349819511671616e-05,1.5204536992633408e-05,1.955853036820424e-05,1.3814336198365442e-05,9.907529536889386e-06
[TG(39:0)]_FA14:0,0,3.802760918118047,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.0342467432993793e-05,1.1446865847943577e-05,1.3115357318700641e-05,1.4216717997219577e-05,2.0342467432993793e-05,1.1446865847943577e-05,1.3115357318700641e-05,1.4216717997219577e-05,1.0198812910316474e-05
[TG(39:0)]_FA16:0,0,3.869474491209684,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.4048313929024297e-05,1.1161541069878335e-05,1.4080455260123026e-05,1.3911649224887412e-05,2.4048313929024297e-05,1.1161541069878335e-05,1.4080455260123026e-05,1.3911649224887412e-05,1.0403766097877499e-05
[TG(39:0)]_FA18:0,0,3.6658212552724727,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.8421883240137548e-05,1.0445549208072394e-05,1.3122246886221039e-05,1.2414366638155676e-05,1.8421883240137548e-05,1.0445549208072394e-05,1.3122246886221039e-05,1.2414366638155676e-05,8.511965770561932e-06
[TG(39:1)]_FA14:0,0,3.667947398909253,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.8017430227797433e-05,1.0190450345600867e-05,1.3119215541690967e-05,1.2460706366330842e-05,1.8017430227797433e-05,1.0190450345600867e-05,1.3119215541690967e-05,1.2460706366330842e-05,9.299485735928605e-06
[TG(39:1)]_FA16:0,0,3.731944373012148,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.9704414472823002e-05,1.0254546652442517e-05,1.3749753548653276e-05,1.4075897119710127e-05,1.9704414472823002e-05,1.0254546652442517e-05,1.3749753548653276e-05,1.4075897119710127e-05,8.206402223693833e-06
[TG(39:1)]_FA16:1,0,3.9201857208894006,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.255297235159663e-05,1.1842590712797056e-05,1.4205570838643157e-05,1.7822965009589863e-05,2.255297235159663e-05,1.1842590712797056e-05,1.4205570838643157e-05,1.7822965009589863e-05,8.510018458707876e-06
[TG(39:1)]_FA18:0,0,3.696195201736076,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.811192869893168e-05,1.1339895863104184e-05,1.4292931328538449e-05,1.2226691480503912e-05,1.811192869893168e-05,1.1339895863104184e-05,1.4292931328538449e-05,1.2226691480503912e-05,7.798118603291585e-06
[TG(39:1)]_FA18:1,0,4.057792337116537,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.835932815201709e-05,1.2066391872923191e-05,1.9042635635235078e-05,1.4510974107387082e-05,2.835932815201709e-05,1.2066391872923191e-05,1.9042635635235078e-05,1.4510974107387082e-05,1.0176743582313653e-05
[TG(40:0)]_FA14:0,0,4.730684553111259,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.5039412211836275e-05,2.2105711904578625e-05,1.7327395825422927e-05,2.0567554070994548e-05,2.5039412211836275e-05,2.2105711904578625e-05,1.7327395825422927e-05,2.0567554070994548e-05,4.812325948052682e-05
[TG(40:0)]_FA16:0,0,4.158830644781001,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.1639362235458853e-05,1.483067755063914e-05,1.9747030693290133e-05,1.806933709733972e-05,2.1639362235458853e-05,1.483067755063914e-05,1.9747030693290133e-05,1.806933709733972e-05,1.3273272414221008e-05
[TG(40:0)]_FA18:0,0,3.843342978539293,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.9601600246969165e-05,1.3718317866414003e-05,1.6392060725279224e-05,1.2217938548405694e-05,1.9601600246969165e-05,1.3718317866414003e-05,1.6392060725279224e-05,1.2217938548405694e-05,8.28948686916882e-06
