lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,SDF-J,SDF-L,SDF-M,SDF-N,SDM-P,SDM-Q,SDM-R,SDM-S,S4F-J,S4F-L,S4F-M,S4F-N,S4M-P,S4M-Q,S4M-R,S4M-S,Blank1
FA(18:2),2.176435627569027,13.615422488072662,85.67595832011284,2.1197449761120246e-20,6.840417037913503e-17,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,FA,0.004867516505569279,0.005212674865934529,0.0053002939015149705,0.004017637416439385,0.004774285106751746,0.09359944158093486,0.0035288874845401134,0.005678209437366788,0.005132903572852776,0.005053229674230264,0.005805856207562997,0.004006369607914477,0.003977826971536765,0.00525807676206903,0.005098503183118525,0.0036719497485876353,0.0044556745873174175
"DG(36:7),DG(35:0)_C16:0",1.278217097881734,9.238193998130924,31.199890771413266,2.327791742242017e-08,3.755891976107494e-05,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,DAG,0.00024424704863889614,0.0017653151624187763,0.0001626723162237893,0.00034044418674809173,0.00020847959393468704,7.51081337255002e-05,0.003228120842403486,0.00018973437791905626,0.00013202004205473188,0.0002815342954032861,0.00022675530757535755,0.0009610091767962935,0.0003452990445321733,0.00012897101936087846,0.0002446215286621804,0.00041411069788784927,0.0008270854406532996
CAR(4:1),1.2469925511159643,7.238631875098588,29.71631534495762,5.001212761993536e-08,5.379637860984381e-05,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,CAR,0.00011435905431705761,0.00011061008766629253,9.243340759246694e-05,8.907298332110648e-05,7.192575353315734e-05,0.0007423956867785384,7.348323853208687e-05,0.0001936571183290026,0.00012723068841960877,8.783945494318509e-05,9.237992576709894e-05,0.00010112828824908186,5.584524152256563e-05,7.497207336545638e-05,0.0001183559334600832,0.00013386927173244967,4.935297941063124e-05
DG(41:5)_C16:0,1.1657193886811523,8.407571876353824,26.07834814749731,3.278398388961904e-07,0.0002644847900295016,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,DAG,0.00013139730225955278,0.000582610101918349,8.592192461481164e-05,0.00015285384941184237,6.222730399054172e-05,3.1432927551668346e-05,0.0021769327275620812,0.00010738793789636904,9.02332266079216e-05,0.0001327482663161551,0.00016160400820547564,0.0005606584450873251,0.00021433685512928517,7.023090193788401e-05,0.00012600213130613784,0.00027043350579211586,0.0004703424964316991
"DG(35:4),DG(O-36:4),DG(dO-37:4)_C18:1",1.1376011944108235,6.496545345696548,24.83721472343961,6.238142103657792e-07,0.0004026096913700738,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,DAG,0.00045673199606524676,7.191161373274314e-05,0.00029816594275163894,4.363744878228965e-05,2.719803642175991e-05,2.9834282370797144e-05,5.072374790444706e-05,0.00013643783387661505,4.6511069284525134e-05,3.9030620388127735e-05,4.059254652141776e-05,4.268833694199386e-05,8.825301158481436e-05,3.0144420469550743e-05,9.197628225796902e-05,0.00013214713208871173,2.097646043900644e-05
"DG(42:11),DG(41:4)_C16:0",1.0894578010374183,6.628727863480135,22.82624647697807,1.7732741571623874e-06,0.0009537259508605042,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,DAG,4.4028395419768956e-05,0.00017018044205380028,4.6858009275555595e-05,7.09786397872662e-05,3.612800298768808e-05,2.6350631085385752e-05,0.000548020797684258,6.928882396206065e-05,5.008158395262173e-05,5.459809719180811e-05,5.5607759654789964e-05,0.00010591403170604693,7.261132339500335e-05,3.1513927166127336e-05,4.73538887673379e-05,9.118755281087124e-05,0.0001002623373667571
CAR(6:1),0.9483734460421352,7.004274026094134,17.400897048598154,3.0268308943811786e-05,0.0108528703290756,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,CAR,0.00010844382949502835,0.00010599082301447385,8.225049022721445e-05,9.24350311139377e-05,5.2872258866653534e-05,0.0005241103710930679,6.019052097362518e-05,0.0002031340970174047,0.00012481330994215732,8.72308953826224e-05,0.00010672689802206438,0.00010323116628677741,5.323361772959538e-05,6.753366158180418e-05,0.00010440068857440906,0.00011804824464597213,5.169006206691582e-05
DG(32:3)_C16:1,0.9595657183038944,5.8485141465935,17.781201887786487,2.4781965635914588e-05,0.0108528703290756,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,DAG,4.855247866315389e-05,0.00029127351404953014,4.6922706236394665e-05,3.255735406146731e-05,2.534321107619106e-05,2.4734235920073876e-05,5.30565235856022e-05,0.00020864551228225305,4.237817244880883e-05,2.7899245543319166e-05,3.907409501370017e-05,5.3278594150133295e-05,3.149446114691889e-05,2.7160611142106727e-05,5.8143362975871896e-05,6.776494496365891e-05,2.4594378174116902e-05
"PE(dO-38:9),PE(35:2),PE(O-36:2),PE(P-36:1)",-0.9499925533573108,8.566352037720254,17.473036013345336,2.9141158707492204e-05,0.0108528703290756,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,PE,0.00023938414457270248,0.00044192427472186,0.0003102668294487339,0.00028254155556071454,0.00032554574806144374,8.630634402134724e-05,0.00013078604336848158,0.0006138486351425249,0.0004142295920421013,0.0015284707428009513,0.0011134070557891737,0.0003856188303316869,0.00017825124511060733,0.00013675461520159195,0.0003340985229920173,0.00035829893877440273,1.0730100806114347e-05
DG(36:6)_C16:0,0.8929276903798964,7.129888670245452,15.45650580381789,8.442582443889928e-05,0.0272442135464327,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,DAG,5.716255327073166e-05,0.00040624202271848656,5.3400734164670196e-05,8.987826241753538e-05,5.642639276397908e-05,2.874426040419404e-05,0.0006234194167737485,7.737189090917432e-05,4.649285083168983e-05,7.25044741090561e-05,8.843751236958125e-05,0.00025558563910081113,9.428011727753725e-05,4.318168476170478e-05,7.684097362436118e-05,0.00011145047074872949,0.00014683424738979665
"PE(35:3),PE(O-36:3),PE(P-36:2)",-0.8859255691608788,8.034067018323698,15.227779184576328,9.529134071392447e-05,0.0279550142258031,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,PE,0.00013885385921160264,0.0003366766901964976,0.00021686600261781793,0.00024849942111418124,0.00022825883125954818,5.427446691099804e-05,9.619235258364397e-05,0.0003914368336814736,0.00029303607191350227,0.0010381168205305896,0.0006840816522189073,0.0002568865148707252,0.00010794412251351853,0.00012202287205343115,0.0002616487547293332,0.0002672698311641277,1.1439242111598309e-05
