lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,SDF-J,SDF-L,SDF-M,SDF-N,SDM-P,SDM-Q,SDM-R,SDM-S,S2F-J,S2F-L,S2F-M,S2F-N,S2M-P,S2M-Q,S2M-R,S2M-S,Blank1
FA(14:2),-3.700675993838499,14.927089177905742,222.4076361508014,2.699165034924063e-50,8.71020556769995e-47,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,FA,0.0014431584021617496,0.0034317961749045483,0.010353415446483057,0.010086085410703743,5.2193292896543235e-05,8.42266859231742e-05,5.1353854266741406e-05,3.3290776211659965e-05,0.0016205979466400423,0.002842688952072954,0.012842140108827694,0.0015117804775972164,0.0558183147475493,0.09181022833586838,0.09739851700785386,0.04371885578574648,0.10344257331284291
FA(14:1),-3.104736344855924,12.150679151792373,165.19231867924185,8.304214025044335e-38,1.3398849329409035e-34,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,FA,0.0011651240483992876,0.0015011506794180788,0.0013288538573828605,0.0020271101700793078,1.314536364716244e-05,1.0262412360667549e-05,1.3838329034029503e-05,2.6522086244957886e-05,0.0012406291875703915,0.0012961897078311148,0.0024363939696802326,0.0012774953916230099,0.007776749436645626,0.012674127329510643,0.01372924999920403,0.006785786529325002,0.012910053216024644
FA(18:2),1.6774971025906753,13.689003829039398,53.71854390785484,2.313691011364223e-13,2.4887602978907827e-10,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,FA,0.004867516505569279,0.005212674865934529,0.0053002939015149705,0.004017637416439385,0.004774285106751746,0.09359944158093486,0.0035288874845401134,0.005678209437366788,0.0063301250640410145,0.005985336983636118,0.004283400097233686,0.005182727124595274,0.011669530651051098,0.00442530092825486,0.0037237008010621124,0.009064700471929008,0.0044556745873174175
DG(32:5)_C18:1,1.382481993125772,7.56334561003872,37.05794836186848,1.1467019634321366e-09,9.25101808998876e-07,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,DAG,0.0010647490759577245,0.0001283098948528459,0.0008026840369471759,6.754884129894244e-05,9.55476565465218e-05,4.572942522316182e-05,0.00010276421286912822,0.00013588872924441951,0.00011930347113380767,0.00010715843745462326,8.591112586329838e-05,0.000153683886975833,6.789218914566614e-05,0.00011434227069272095,0.00013012775492091908,0.00011642909309279208,3.209050357567749e-05
"DG(36:7),DG(35:0)_C16:0",1.367074274349709,9.19029303691982,36.2834911929574,1.706028970115739e-09,1.101071097312698e-06,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,DAG,0.00024424704863889614,0.0017653151624187763,0.0001626723162237893,0.00034044418674809173,0.00020847959393468704,7.51081337255002e-05,0.003228120842403486,0.00018973437791905626,0.00016332149074651766,0.0001464042574126943,0.00024089124427932593,0.00023794546673736708,0.00021515162646761911,0.0003864852130996324,0.0009116424307816518,0.0001634794348615698,0.0008270854406532996
"DG(35:4),DG(O-36:4),DG(dO-37:4)_C18:1",1.2856123613293144,6.427121348912154,32.169726838073984,1.4127495426853577e-08,7.598237957076082e-06,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,DAG,0.00045673199606524676,7.191161373274314e-05,0.00029816594275163894,4.363744878228965e-05,2.719803642175991e-05,2.9834282370797144e-05,5.072374790444706e-05,0.00013643783387661505,6.650833490951002e-05,5.078550576321358e-05,4.5222258004328935e-05,7.375034779205398e-05,3.04687337595714e-05,4.4131352720534944e-05,5.8169448772517653e-05,6.131734700209212e-05,2.097646043900644e-05
DG(41:5)_C16:0,1.260622682786266,8.357126282020277,31.006658061482767,2.571448083408381e-08,1.1854375664512636e-05,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,DAG,0.00013139730225955278,0.000582610101918349,8.592192461481164e-05,0.00015285384941184237,6.222730399054172e-05,3.1432927551668346e-05,0.0021769327275620812,0.00010738793789636904,6.92746690723019e-05,9.497720636771499e-05,0.00012239845975111206,0.00017624824122727,0.0001519568679646057,0.00023251613535603725,0.0004889945092504654,9.040297813061096e-05,0.0004703424964316991
FA(17:2),1.241605318401695,13.906160121167868,30.120840440577027,4.0594524238570325e-08,1.6374816214733303e-05,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,FA,0.007397472086600322,0.008793347370912225,0.009945084433485506,0.007373340960894614,0.00812556339995461,0.08429634560925398,0.0070151165049720495,0.014148981705619967,0.009732451253170135,0.009491088292733372,0.009531379772471166,0.008917734436006483,0.01241041627239026,0.006929713501859065,0.006336067196565781,0.011704453789771923,0.005029463036432863
CAR(4:1),1.1160581086062162,7.2506955489564096,24.449549984069336,7.628132764906118e-07,0.0002735109381372449,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,CAR,0.00011435905431705761,0.00011061008766629253,9.243340759246694e-05,8.907298332110648e-05,7.192575353315734e-05,0.0007423956867785384,7.348323853208687e-05,0.0001936571183290026,0.00012027063935674729,9.47335806709092e-05,0.00010303313081155262,7.848464073332745e-05,9.063835675578508e-05,5.627479928034809e-05,0.00014896185518566284,0.00014875890315083624,4.935297941063124e-05
DG(36:6)_C16:0,1.1063338358559367,7.040472869898173,24.02894075125104,9.489851975814352e-07,0.0003062375232595292,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,DAG,5.716255327073166e-05,0.00040624202271848656,5.3400734164670196e-05,8.987826241753538e-05,5.642639276397908e-05,2.874426040419404e-05,0.0006234194167737485,7.737189090917432e-05,5.707418917397608e-05,5.936109177421372e-05,5.5029328803372866e-05,7.453130463121872e-05,5.163679996246194e-05,8.713975489299601e-05,0.00020905269488504633,6.733311965132001e-05,0.00014683424738979665
[TG(37:0)]_FA18:0,-1.0249538751326577,6.383682428837604,20.6817935103098,5.422919055581965e-06,0.0015908872538511,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,4.299048535195588e-05,9.686290512398948e-05,3.330170576936224e-05,2.369699441819148e-05,9.881907708904484e-05,3.6383088141344565e-05,1.5420522369078584e-05,0.00018690015932137626,3.175223073592973e-05,4.423140266806901e-05,4.871364508700404e-05,4.5956847243424864e-05,0.0001542870479859066,8.36654867001572e-05,0.0003273210512595404,0.0002959729582942303,1.0593952214393184e-05
[TG(42:0)]_FA14:0,-1.019719083953719,9.248677679940084,20.506402914484653,5.943210908101412e-06,0.0015982284667036,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,0.000999291885197811,0.0004461733971395808,0.00044932101973241354,0.00042920158127642,0.00029717919077222826,0.00025897010926459013,0.0001773970472192279,0.0006331936673735759,0.0005366312727159457,0.0024505938366737885,0.0004921825332147847,0.0007719530781293659,0.000545810590404107,0.0005795934560224306,0.0003843364339597594,0.0014273693593258299,5.620162738132205e-05
CAR(6:1),0.8846830762881872,6.998826393350751,15.49719329983148,8.262785162521255e-05,0.0205107751688123,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,CAR,0.00010844382949502835,0.00010599082301447385,8.225049022721445e-05,9.24350311139377e-05,5.2872258866653534e-05,0.0005241103710930679,6.019052097362518e-05,0.0002031340970174047,0.00011664345342223873,0.00010593700460054023,9.415949726056953e-05,9.44005753046744e-05,6.877447613380033e-05,4.055328803430538e-05,0.00014690950500029944,0.00012014308269094856,5.169006206691582e-05
